item,value,used_in,source_file,expression
canopy__percent_C__n_nonblank,2389,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""percent_C""]]))"
canopy__percent_C__min,14.38804359,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""percent_C""]], na.rm = TRUE)"
canopy__percent_C__max,59.95866781,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""percent_C""]], na.rm = TRUE)"
canopy__percent_C__n_blank,120,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""percent_C""]]))"
canopy__percent_C__blank_added_vs_intermediate,1,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""percent_C""]])) - sum(is.na(interm[[""canopy""]][[""percent_C""]]))"
canopy__C_to_N_ratio__n_nonblank,2389,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""C_to_N_ratio""]]))"
canopy__C_to_N_ratio__min,6.65462518954224,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""C_to_N_ratio""]], na.rm = TRUE)"
canopy__C_to_N_ratio__max,240.7,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""C_to_N_ratio""]], na.rm = TRUE)"
canopy__C_to_N_ratio__n_blank,120,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""C_to_N_ratio""]]))"
canopy__C_to_N_ratio__blank_added_vs_intermediate,1,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""C_to_N_ratio""]])) - sum(is.na(interm[[""canopy""]][[""C_to_N_ratio""]]))"
canopy__d_15N_14N__n_nonblank,2390,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""d_15N_14N""]]))"
canopy__d_15N_14N__min,-10.26540887,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""d_15N_14N""]], na.rm = TRUE)"
canopy__d_15N_14N__max,17.38413758,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""d_15N_14N""]], na.rm = TRUE)"
canopy__d_15N_14N__n_blank,119,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""d_15N_14N""]]))"
canopy__d_15N_14N__blank_added_vs_intermediate,0,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""d_15N_14N""]])) - sum(is.na(interm[[""canopy""]][[""d_15N_14N""]]))"
canopy__d_13C_12C__n_nonblank,2390,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""d_13C_12C""]]))"
canopy__d_13C_12C__min,-33.2334073,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""d_13C_12C""]], na.rm = TRUE)"
canopy__d_13C_12C__max,-11.50918626,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""d_13C_12C""]], na.rm = TRUE)"
canopy__d_13C_12C__n_blank,119,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""d_13C_12C""]]))"
canopy__d_13C_12C__blank_added_vs_intermediate,0,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""d_13C_12C""]])) - sum(is.na(interm[[""canopy""]][[""d_13C_12C""]]))"
leaf__leaf_area_cm2__n_nonblank,9403,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_area_cm2""]]))"
leaf__leaf_area_cm2__min,0.19,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""leaf_area_cm2""]], na.rm = TRUE)"
leaf__leaf_area_cm2__max,573.53,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""leaf_area_cm2""]], na.rm = TRUE)"
leaf__leaf_area_cm2__n_blank,144,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""leaf_area_cm2""]]))"
leaf__leaf_area_cm2__blank_added_vs_intermediate,111,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""leaf_area_cm2""]])) - sum(is.na(interm[[""leaf""]][[""leaf_area_cm2""]]))"
leaf__leaf_length_cm__n_nonblank,9406,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_length_cm""]]))"
leaf__leaf_length_cm__min,0.011,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""leaf_length_cm""]], na.rm = TRUE)"
leaf__leaf_length_cm__max,210.5,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""leaf_length_cm""]], na.rm = TRUE)"
leaf__leaf_length_cm__n_blank,141,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""leaf_length_cm""]]))"
leaf__leaf_length_cm__blank_added_vs_intermediate,111,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""leaf_length_cm""]])) - sum(is.na(interm[[""leaf""]][[""leaf_length_cm""]]))"
leaf__avg_leaf_width_cm__n_nonblank,9396,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""avg_leaf_width_cm""]]))"
leaf__avg_leaf_width_cm__min,0.002,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""avg_leaf_width_cm""]], na.rm = TRUE)"
leaf__avg_leaf_width_cm__max,23.5,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""avg_leaf_width_cm""]], na.rm = TRUE)"
leaf__avg_leaf_width_cm__n_blank,151,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""avg_leaf_width_cm""]]))"
leaf__avg_leaf_width_cm__blank_added_vs_intermediate,111,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""avg_leaf_width_cm""]])) - sum(is.na(interm[[""leaf""]][[""avg_leaf_width_cm""]]))"
leaf__max_leaf_width_cm__n_nonblank,9403,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""max_leaf_width_cm""]]))"
leaf__max_leaf_width_cm__min,0.002,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""max_leaf_width_cm""]], na.rm = TRUE)"
leaf__max_leaf_width_cm__max,47,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""max_leaf_width_cm""]], na.rm = TRUE)"
leaf__max_leaf_width_cm__n_blank,144,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""max_leaf_width_cm""]]))"
leaf__max_leaf_width_cm__blank_added_vs_intermediate,111,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""max_leaf_width_cm""]])) - sum(is.na(interm[[""leaf""]][[""max_leaf_width_cm""]]))"
leaf__leaf_thickness_mm__n_nonblank,9265,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_thickness_mm""]]))"
leaf__leaf_thickness_mm__min,0.002,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""leaf_thickness_mm""]], na.rm = TRUE)"
leaf__leaf_thickness_mm__max,34.5,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""leaf_thickness_mm""]], na.rm = TRUE)"
leaf__leaf_thickness_mm__n_blank,282,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""leaf_thickness_mm""]]))"
leaf__leaf_thickness_mm__blank_added_vs_intermediate,239,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""leaf_thickness_mm""]])) - sum(is.na(interm[[""leaf""]][[""leaf_thickness_mm""]]))"
leaf__leaf_fresh_wgt_g__n_nonblank,8920,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_fresh_wgt_g""]]))"
leaf__leaf_fresh_wgt_g__min,0.007,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""leaf_fresh_wgt_g""]], na.rm = TRUE)"
leaf__leaf_fresh_wgt_g__max,976.036,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""leaf_fresh_wgt_g""]], na.rm = TRUE)"
leaf__leaf_fresh_wgt_g__n_blank,627,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""leaf_fresh_wgt_g""]]))"
leaf__leaf_fresh_wgt_g__blank_added_vs_intermediate,207,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""leaf_fresh_wgt_g""]])) - sum(is.na(interm[[""leaf""]][[""leaf_fresh_wgt_g""]]))"
leaf__leaf_dry_wgt_g__n_nonblank,9068,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_dry_wgt_g""]]))"
leaf__leaf_dry_wgt_g__min,0.004,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""leaf_dry_wgt_g""]], na.rm = TRUE)"
leaf__leaf_dry_wgt_g__max,70.451,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""leaf_dry_wgt_g""]], na.rm = TRUE)"
leaf__leaf_dry_wgt_g__n_blank,479,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""leaf_dry_wgt_g""]]))"
leaf__leaf_dry_wgt_g__blank_added_vs_intermediate,177,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""leaf_dry_wgt_g""]])) - sum(is.na(interm[[""leaf""]][[""leaf_dry_wgt_g""]]))"
leaf__twig_fresh_g__n_nonblank,7122,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""twig_fresh_g""]]))"
leaf__twig_fresh_g__min,0.002,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""twig_fresh_g""]], na.rm = TRUE)"
leaf__twig_fresh_g__max,103.784,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""twig_fresh_g""]], na.rm = TRUE)"
leaf__twig_fresh_g__n_blank,2425,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""twig_fresh_g""]]))"
leaf__twig_fresh_g__blank_added_vs_intermediate,136,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""twig_fresh_g""]])) - sum(is.na(interm[[""leaf""]][[""twig_fresh_g""]]))"
leaf__twig_dry_g__n_nonblank,6997,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""twig_dry_g""]]))"
leaf__twig_dry_g__min,0.001,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""twig_dry_g""]], na.rm = TRUE)"
leaf__twig_dry_g__max,10.673,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""twig_dry_g""]], na.rm = TRUE)"
leaf__twig_dry_g__n_blank,2550,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""twig_dry_g""]]))"
leaf__twig_dry_g__blank_added_vs_intermediate,176,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""twig_dry_g""]])) - sum(is.na(interm[[""leaf""]][[""twig_dry_g""]]))"
leaf__lma__n_nonblank,8977,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""lma""]]))"
leaf__lma__min,13.4615384615385,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""lma""]], na.rm = TRUE)"
leaf__lma__max,3134.84126984127,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""lma""]], na.rm = TRUE)"
leaf__lma__n_blank,570,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""lma""]]))"
leaf__lma__blank_added_vs_intermediate,267,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""lma""]])) - sum(is.na(interm[[""leaf""]][[""lma""]]))"
leaf__lwc__n_nonblank,8694,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""lwc""]]))"
leaf__lwc__min,0.0666666666666667,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""lwc""]], na.rm = TRUE)"
leaf__lwc__max,63.4047619047619,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""lwc""]], na.rm = TRUE)"
leaf__lwc__n_blank,853,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""lwc""]]))"
leaf__lwc__blank_added_vs_intermediate,324,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""lwc""]])) - sum(is.na(interm[[""leaf""]][[""fwc""]]))"
leaf__succulence__n_nonblank,8618,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""succulence""]]))"
leaf__succulence__min,6.53594771241831,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""succulence""]], na.rm = TRUE)"
leaf__succulence__max,28299.53125,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""succulence""]], na.rm = TRUE)"
leaf__succulence__n_blank,929,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""succulence""]]))"
leaf__succulence__blank_added_vs_intermediate,421,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""succulence""]])) - sum(is.na(interm[[""leaf""]][[""succulence""]]))"
leaf__ldmc__n_nonblank,8694,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""ldmc""]]))"
leaf__ldmc__min,0.0155268022181146,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""ldmc""]], na.rm = TRUE)"
leaf__ldmc__max,0.9375,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""ldmc""]], na.rm = TRUE)"
leaf__ldmc__n_blank,853,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""ldmc""]]))"
leaf__ldmc__blank_added_vs_intermediate,346,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""ldmc""]])) - sum(is.na(interm[[""leaf""]][[""ldmc""]]))"
leaf__lwr__n_nonblank,9396,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""lwr""]]))"
leaf__lwr__min,0.211111111111111,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""lwr""]], na.rm = TRUE)"
leaf__lwr__max,3086.66666666667,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""lwr""]], na.rm = TRUE)"
leaf__lwr__n_blank,151,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""lwr""]]))"
leaf__lwr__blank_added_vs_intermediate,111,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""lwr""]])) - sum(is.na(interm[[""leaf""]][[""lwr""]]))"
leaf__twig_fwc__n_nonblank,6858,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""twig_fwc""]]))"
leaf__twig_fwc__min,0.005,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"min(leafstruc[[""twig_fwc""]], na.rm = TRUE)"
leaf__twig_fwc__max,46.5,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"max(leafstruc[[""twig_fwc""]], na.rm = TRUE)"
leaf__twig_fwc__n_blank,2689,Table 2-3 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"sum(is.na(leafstruc[[""twig_fwc""]]))"
leaf__twig_fwc__blank_added_vs_intermediate,282,Methods / Usage Notes / response letter,Data_Outputs/leaf_struct_water_traits.csv; Intermediate_Outputs/leaf_struc_intermediate.csv,"sum(is.na(leafstruc[[""twig_fwc""]])) - sum(is.na(interm[[""leaf""]][[""twig_fwc""]]))"
canopy__pubescence__n_B,542,Table 2 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(canopy[[pubescence_col]] == ""B"", na.rm = TRUE)"
canopy__pubescence__n_L,135,Table 2 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(canopy[[pubescence_col]] == ""L"", na.rm = TRUE)"
canopy__pubescence__n_N,1153,Table 2 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(canopy[[pubescence_col]] == ""N"", na.rm = TRUE)"
canopy__pubescence__n_S,148,Table 2 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(canopy[[pubescence_col]] == ""S"", na.rm = TRUE)"
canopy__pubescence__n_blank,531,Table 2 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,sum(is.na(canopy[[pubescence_col]]))
quality_flag__canopy__rows_with_any_flag,122,Methods / Usage Notes / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,sum(!is.na(canopy$quality_flag))
quality_flag__canopy__canopy_magnitude,98,Methods / Usage Notes / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"flag_has(canopy$quality_flag[!is.na(canopy$quality_flag)], ""canopy_magnitude"")"
quality_flag__canopy__n_lma_covariation,26,Methods / Usage Notes / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"flag_has(canopy$quality_flag[!is.na(canopy$quality_flag)], ""n_lma_covariation"")"
quality_flag__leaf__rows_with_any_flag,218,Methods / Usage Notes / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,sum(!is.na(leafstruc$quality_flag))
quality_flag__leaf__global_range_avg_leaf_width_cm,11,Methods / Usage Notes / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"flag_has(leafstruc$quality_flag[!is.na(leafstruc$quality_flag)], ""global_range_avg_leaf_width_cm"")"
quality_flag__leaf__global_range_fwc,76,Methods / Usage Notes / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"flag_has(leafstruc$quality_flag[!is.na(leafstruc$quality_flag)], ""global_range_fwc"")"
quality_flag__leaf__global_range_leaf_length_cm,16,Methods / Usage Notes / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"flag_has(leafstruc$quality_flag[!is.na(leafstruc$quality_flag)], ""global_range_leaf_length_cm"")"
quality_flag__leaf__global_range_leaf_thickness_mm,51,Methods / Usage Notes / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"flag_has(leafstruc$quality_flag[!is.na(leafstruc$quality_flag)], ""global_range_leaf_thickness_mm"")"
quality_flag__leaf__global_range_lma,33,Methods / Usage Notes / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"flag_has(leafstruc$quality_flag[!is.na(leafstruc$quality_flag)], ""global_range_lma"")"
quality_flag__leaf__n_lma_covariation,58,Methods / Usage Notes / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"flag_has(leafstruc$quality_flag[!is.na(leafstruc$quality_flag)], ""n_lma_covariation"")"
qc__bad_lma__rows,185,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_lma_values.csv,"nrow(qc[[""bad_lma""]])"
qc__bad_lma__distinct_sample_replicates,185,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_lma_values.csv,"n_distinct(paste(qc[[""bad_lma""]]$sample_id, qc[[""bad_lma""]]$replicate))"
qc__bad_lma__distinct_samples,107,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_lma_values.csv,"n_distinct(qc[[""bad_lma""]]$sample_id)"
qc__bad_lma__confidence_both,170,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_lma_values.csv,"sum(qc[[""bad_lma""]][[""confidence""]] == ""both"", na.rm = TRUE)"
qc__bad_lma__confidence_ratio_only,15,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_lma_values.csv,"sum(qc[[""bad_lma""]][[""confidence""]] == ""ratio_only"", na.rm = TRUE)"
qc__bad_lma__suspected_bad_area,80,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_lma_values.csv,"sum(qc[[""bad_lma""]][[""suspected_bad""]] == ""area"", na.rm = TRUE)"
qc__bad_lma__suspected_bad_weight,105,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_lma_values.csv,"sum(qc[[""bad_lma""]][[""suspected_bad""]] == ""weight"", na.rm = TRUE)"
qc__bad_fwc__rows,228,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_fwc_values.csv,"nrow(qc[[""bad_fwc""]])"
qc__bad_fwc__distinct_sample_replicates,228,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_fwc_values.csv,"n_distinct(paste(qc[[""bad_fwc""]]$sample_id, qc[[""bad_fwc""]]$replicate))"
qc__bad_fwc__distinct_samples,123,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_fwc_values.csv,"n_distinct(qc[[""bad_fwc""]]$sample_id)"
qc__bad_fwc__confidence_both,203,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_fwc_values.csv,"sum(qc[[""bad_fwc""]][[""confidence""]] == ""both"", na.rm = TRUE)"
qc__bad_fwc__confidence_ratio_only,25,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_fwc_values.csv,"sum(qc[[""bad_fwc""]][[""confidence""]] == ""ratio_only"", na.rm = TRUE)"
qc__bad_fwc__suspected_bad_leaf_dry_wgt_g,98,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_fwc_values.csv,"sum(qc[[""bad_fwc""]][[""suspected_bad""]] == ""leaf_dry_wgt_g"", na.rm = TRUE)"
qc__bad_fwc__suspected_bad_leaf_fresh_wgt_g,130,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_fwc_values.csv,"sum(qc[[""bad_fwc""]][[""suspected_bad""]] == ""leaf_fresh_wgt_g"", na.rm = TRUE)"
qc__bad_ldmc__rows,91,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_ldmc_values.csv,"nrow(qc[[""bad_ldmc""]])"
qc__bad_ldmc__distinct_sample_replicates,91,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_ldmc_values.csv,"n_distinct(paste(qc[[""bad_ldmc""]]$sample_id, qc[[""bad_ldmc""]]$replicate))"
qc__bad_ldmc__distinct_samples,54,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_ldmc_values.csv,"n_distinct(qc[[""bad_ldmc""]]$sample_id)"
qc__bad_ldmc__confidence_both,90,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_ldmc_values.csv,"sum(qc[[""bad_ldmc""]][[""confidence""]] == ""both"", na.rm = TRUE)"
qc__bad_ldmc__confidence_ratio_only,1,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_ldmc_values.csv,"sum(qc[[""bad_ldmc""]][[""confidence""]] == ""ratio_only"", na.rm = TRUE)"
qc__bad_ldmc__suspected_bad_leaf_dry_wgt_g,34,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_ldmc_values.csv,"sum(qc[[""bad_ldmc""]][[""suspected_bad""]] == ""leaf_dry_wgt_g"", na.rm = TRUE)"
qc__bad_ldmc__suspected_bad_leaf_fresh_wgt_g,57,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_ldmc_values.csv,"sum(qc[[""bad_ldmc""]][[""suspected_bad""]] == ""leaf_fresh_wgt_g"", na.rm = TRUE)"
qc__bad_succulence__rows,228,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_succulence_values.csv,"nrow(qc[[""bad_succulence""]])"
qc__bad_succulence__distinct_sample_replicates,228,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_succulence_values.csv,"n_distinct(paste(qc[[""bad_succulence""]]$sample_id, qc[[""bad_succulence""]]$replicate))"
qc__bad_succulence__distinct_samples,123,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_succulence_values.csv,"n_distinct(qc[[""bad_succulence""]]$sample_id)"
qc__bad_succulence__confidence_both,206,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_succulence_values.csv,"sum(qc[[""bad_succulence""]][[""confidence""]] == ""both"", na.rm = TRUE)"
qc__bad_succulence__confidence_ratio_only,22,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_succulence_values.csv,"sum(qc[[""bad_succulence""]][[""confidence""]] == ""ratio_only"", na.rm = TRUE)"
