scientific_name_original,family_MG,leaf_type,functional_leaf,virtually_no_leaves,recode_date,recode_reason
Bobartia filiformis,Iridaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
Bobartia macrocarpa,Iridaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
Bobartia macrospatha,Iridaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
Bobartia orientalis,Iridaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
Bobartia parva,Iridaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
Bobartia rufa,Iridaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
Chrysitrix junciformis,Cyperaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
Ehrharta villosa,Poaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
Ficinia acuminata,Cyperaceae,leaf,culm_stem,0,2026-08-11,functional_leaf indicates culm/stem-based photosynthesis; virtually_no_leaves recoded 0 -> 1 to match
