scientific_name_original,scientific_name_MG,scientific_name_WFO,evergreen,deciduous,recode_date,recode_reason
Helichrysum leontonyx,Helichrysum leontonyx,Helichrysum leontonyx,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Heliophila amplexicaulis,Heliophila amplexicaulis,Heliophila amplexicaulis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Heliophila collina,Heliophila collina,Heliophila collina,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Heliophila crithmifolia,Heliophila crithmifolia,Heliophila crithmifolia,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Heliophila deserticola,Heliophila deserticola,Heliophila deserticola,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Heliophila pinnata,Heliophila pinnata,Heliophila pinnata,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Heliophila seselifolia,Heliophila seselifolia,Heliophila seselifolia,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Heliophila suborbicularis,Heliophila suborbicularis,Heliophila suborbicularis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Heliophila variabilis,Heliophila variabilis,Heliophila variabilis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Hemimeris centrodes,Hemimeris centrodes,Hemimeris centrodes,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Hordeum murinum,Hordeum murinum,Hordeum murinum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Ifloga glomerata,Ifloga glomerata,Ifloga glomerata,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Lasiopogon muscoides,Lasiopogon muscoides,Lasiopogon muscoides,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Lasiospermum brachyglossum,Lasiospermum brachyglossum,Lasiospermum brachyglossum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Lotononis falcata,Lotononis falcata (form C),Lotononis falcata,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Lotononis parvifolia,Lotononis parvifolia,Lotononis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Lyperia tristis,Lyperia tristis,Lyperia tristis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Medicargo polymorpha,Medicargo polymorpha,Medicago polymorpha,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Mesembryanthemum guerichianum,Mesembryanthemum guerichianum,Mesembryanthemum guerichianum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Osteospermum hyoseroides,Monoculus hyoseroides,Monoculus hyoseroides,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Nemesia anisocarpa,Nemesia anisocarpa,Nemesia anisocarpa,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Nemesia cheiranthus,Nemesia cheiranthus,Nemesia cheiranthus,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Nemesia leipoldtii,Nemesia leipoldtii,Nemesia leipoldtii,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Oncosiphon grandiflorum,Oncosiphon grandiflorum,Oncosiphon grandiflorus,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Oncosiphon suffruticosum,Oncosiphon suffruticosum,Oncosiphon suffruticosum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Osteospermum acanthospermum,Osteospermum acanthospermum,Osteospermum acanthospermum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Pelargonium redactum,Pelargonium reductum,Pelargonium redactum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Pentameris airoides,Pentaschistis airoides,Pentameris airoides,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Pentameris patula,Pentaschistis patula,Pentameris patula,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Pharnaceum croceum,Pharnaceum croceum,Pharnaceum croceum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Plantago cafra,Plantago cafra,Plantago capillaris,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Polycarena aurea,Polycarena aurea,Polycarena aurea,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Salsola kali,Salsola kali,Salsola kali,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Schismus barbatus,Schismus barbatus,Schismus barbatus,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Schismus schismoides,Schismus schismoides,Schismus schismoides,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Scleranthus annuus,Scleranthus annuus,Scleranthus annuus,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Senecio abruptus,Senecio abruptus,Senecio abruptus,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Senecio cardaminifolius,Senecio cardaminifolius,Senecio cardaminifolius,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Silene clandestina,Silene clandestina,Silene cretica,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Tetragonia enchinata,Tetragonia microptera,Tetragonia echinata,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Tribolium tenella,Tribolium tenellum,Tribolium tenellum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Tribolium utriculosum,Tribolium utriculosum,Tribolium utriculosum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Ursinia anthemoides,Ursinia anthemoides,Ursinia anthemoides,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Ursinia cakilefolia,Ursinia cakilefolia,Ursinia cakilefolia,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Ursinia calenduliflora,Ursinia calenduliflora,Ursinia calenduliflora,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Ursinia nana subsp. nana,Ursinia nana subsp. nana,Ursinia nana subsp. nana,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Wahlenbergia androsacea,Wahlenbergia androsacea,Wahlenbergia androsacea,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Wahlenbergia annularis,Wahlenbergia annularis,Wahlenbergia annularis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Wahlenbergia prostrata,Wahlenbergia prostrata,Wahlenbergia prostrata,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Zaluzianskya affinis,Zaluzianskya affinis,Zaluzianskya affinis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Zaluzianskya benthamiana,Zaluzianskya benthamiana,Zaluzianskya benthamiana,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Zaluzianskya cohabitans,Zaluzianskya cohabitans,Zaluzianskya cohabitans,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Zaluzianskya minima,Zaluzianskya minima,Zaluzianskya minima,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Zaluzianskya pusilla,Zaluzianskya pusilla,Zaluzianskya pusilla,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Zaluzianskya villosa,Zaluzianskya villosa,Zaluzianskya villosa,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Zaluzianskya violacea,Zaluzianskya violacea,Zaluzianskya violacea,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
