"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal"
"Acrolophia barbata","Acrolophia barbata","ORCHIDACEAE","Eulophia barbata","(Thunb.) Spreng.","Orchidaceae",1,0,"Perennial",1,0,1,0,1,1,0,1,0,"Nov","Dec",NA,NA,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","i","p"
"Acrolophia capensis","Acrolophia capensis","ORCHIDACEAE","Eulophia tristis","(L.f.) Spreng.","Orchidaceae",1,0,"Perennial",1,0,1,0,1,1,0,1,0,"Dec","Jan",NA,NA,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","i","p"
"Acrosanthes angustifolia","Acrosanthes angustifolia","AIZOACEAE","Acrosanthes angustifolia","Eckl. & Zeyh.","Aizoaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Dec",NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","p"
"Adenandra brachyphylla","Adenandra brachyphylla","RUTACEAE","Adenandra brachyphylla","Schltdl.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jul","Nov",NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Adenandra fragrans","Adenandra fragrans","RUTACEAE","Adenandra fragrans","(Sims) Schult.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,2.52,0,0,"leaf",2,"h","i","p"
"Adenandra mundiifolia","Adenandra mundiifolia","RUTACEAE","Adenandra mundiaefolia","Eckl. & Zeyh.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Adenandra uniflora","Adenandra uniflora","RUTACEAE","Adenandra uniflora","Willd.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Oct",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,1,0,0,0,0.833333333,0,0,"leaf",2,"h","i","p"
"Adenandra villosa","Adenandra villosa","RUTACEAE","Adenandra villosa","Lichtst. ex Roem. & Schult.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.61,0,0,"leaf",2,"h","i","p"
"Adenocline pauciflora","Adenocline pauciflora","EUPHORBIACEAE","Adenocline pauciflora","Turcz.","Euphorbiaceae",1,1,"Both",0,1,1,0,0,0,0,1,0,"Sep","Dec",NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","p"
"Adenogramma glomerata","Adenogramma glomerata","MOLLUGINACEAE","Adenogramma glomerata","Druce","Molluginaceae",0,1,"Annual",1,0,0,1,1,1,0,0,0,"Aug","Oct",NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",0,"l","i","p"
"Adromischus cristatus","Adromischus cristatus","CRASSULACEAE","Adromischus cristatus","(Haw.) Lem.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Dec","Mar",NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"l","i","p"
"Adromischus maculatus","Adromischus maculatus","CRASSULACEAE","Adromischus maculatus","Lem.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Dec","Jan",NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,6.090909091,0,0,"leaf",3,"l","i","p"
"Adromischus triflorus","Adromischus triflorus","CRASSULACEAE","Adromischus triflorus","(L.f.) A.Berger","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Jan",NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"l","i","p"
"Agapanthus praecox","Agapanthus praecox","AGAPANTHACEAE","Agapanthus praecox","Willd.","Amaryllidaceae",1,0,"Perennial",1,0,0,1,1,0,0,1,0,"Dec","Feb",NA,NA,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",3,"l","i","w"
"Agapanthus walshii","Agapanthus africanus","AGAPANTHACEAE","Agapanthus walshii","L.Bolus","Amaryllidaceae",1,0,"Perennial",1,0,0,1,1,0,1,1,0,"Dec","Apr",NA,NA,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,13.86,0,0,"leaf",3,"l","i","w"
"Agathosma anomala","Agathosma anomala","RUTACEAE","Agathosma anomala","E.Mey. ex Sond.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Apr",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.8,0,0,"leaf",2,"h","i","p"
"Agathosma betulina","Agathosma betulina","RUTACEAE","Agathosma betulina","(P.J.Bergius) Pillans","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jun","Nov",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.3,0,0,"leaf",3,"h","i","p"
"Agathosma bicolor","Agathosma bicolor","RUTACEAE","Agathosma bicolor","Dümmer","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Sep",NA,NA,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1,0,0,"leaf",2,"h","i","p"
"Agathosma bifida","Agathosma bifida","RUTACEAE","Agathosma bifida","Bartl. & H.L.Wendl.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jan","Dec",NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.796,0,0,"leaf",3,"h","i","p"
"Agathosma bisulca","Agathosma bisulca","RUTACEAE","Agathosma bisulca","Bartl. & H.L.Wendl.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jun","Nov",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,1,0,0,0,0,1.5,0,0,"leaf",2,"h","i","p"
"Agathosma capensis","Agathosma capensis","RUTACEAE","Agathosma capensis","Druce","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jan","Dec",NA,NA,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.474482759,0,0,"leaf",2,"h","i","p"
"Agathosma cerefolium","Agathosma cerefolium","RUTACEAE","Agathosma cerefolium","(Vent.) Bartl. & H.L.Wendl.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Jan",NA,NA,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Agathosma ciliaris","Agathosma ciliaris","RUTACEAE","Agathosma ciliaris","Druce","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"May","Dec",NA,NA,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.62,0,0,"leaf",2,"h","i","p"
"Agathosma crenulata","Agathosma crenulata","RUTACEAE","Agathosma crenulata","(L.) Pillans","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Jun","Nov",NA,NA,250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Agathosma distans","Agathosma distans","RUTACEAE","Agathosma distans","Pillans","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Sep",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,1,0,0,0,2,0,0,"leaf",2,"h","i","p"
"Agathosma divaricata","Agathosma divaricata","RUTACEAE","Agathosma divaricata","Pillans","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,0.5,0,0,"leaf",2,"h","i","p"
"Agathosma hookeri","Agathosma hookeri","RUTACEAE","Agathosma hookeri","Sond.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Nov",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.7,0,0,"leaf",2,"h","i","p"
"Agathosma imbricata","Agathosma imbricata","RUTACEAE","Agathosma imbricata","Willd.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jun","Jan",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.348461538,0,0,"leaf",2,"h","i","p"
