"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","perennial","annual","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal","scientific_name_authorship"
"Adromischus maculatus","Adromischus maculatus","Crassulaceae","Adromischus maculatus","Adromischus maculatus","Crassulaceae",1,0,1,0,1,0,0,0,0,0,0,"Dec","Jan",NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,6.090909091,0,0,"leaf",3,"l","i","p","Adromischus maculatus"
"Adromischus triflorus","Adromischus triflorus","Crassulaceae","Adromischus triflorus","Adromischus triflorus","Crassulaceae",1,0,1,0,1,0,0,0,0,0,0,"Nov","Jan",NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"l","i","p","Adromischus triflorus"
"Agapanthus praecox","Agapanthus praecox","Agapanthaceae","Agapanthus praecox","Agapanthus praecox","Amaryllidaceae",1,0,1,0,0,1,1,1,0,1,0,"Dec","Feb",NA,NA,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",3,"l","i","w","Agapanthus praecox"
"Agapanthus walshii","Agapanthus africanus","Agapanthaceae","Agapanthus walshii","Agapanthus walshii","Amaryllidaceae",1,0,1,0,0,1,1,1,1,1,0,"Dec","Apr",NA,NA,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,13.86,0,0,"leaf",3,"l","i","w","Agapanthus walshii"
"Agathosma anomala","Agathosma anomala","Rutaceae","Agathosma anomala","Agathosma anomala","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","Apr",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.8,0,0,"leaf",2,"h","i","p","Agathosma anomala"
"Agathosma betulina","Agathosma betulina","Rutaceae","Agathosma betulina","Agathosma betulina","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Jun","Nov",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.3,0,0,"leaf",3,"h","i","p","Agathosma betulina"
"Agathosma bicolor","Agathosma bicolor","Rutaceae","Agathosma bicolor","Agathosma bicolor","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Aug","Sep",NA,NA,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1,0,0,"leaf",2,"h","i","p","Agathosma bicolor"
"Agathosma bifida","Agathosma bifida","Rutaceae","Agathosma bifida","Agathosma bifida","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Jan","Dec",NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.796,0,0,"leaf",3,"h","i","p","Agathosma bifida"
"Agathosma bisulca","Agathosma bisulca","Rutaceae","Agathosma bisulca","Agathosma bisulca","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Jun","Nov",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,1,0,0,0,0,1.5,0,0,"leaf",2,"h","i","p","Agathosma bisulca"
"Agathosma capensis","Agathosma capensis","Rutaceae","Agathosma capensis","Agathosma capensis","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Jan","Dec",NA,NA,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.474482759,0,0,"leaf",2,"h","i","p","Agathosma capensis"
"Agathosma cerefolium","Agathosma cerefolium","Rutaceae","Agathosma cerefolium","Agathosma cerefolium","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Jan",NA,NA,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p","Agathosma cerefolium"
"Agathosma ciliaris","Agathosma ciliaris","Rutaceae","Agathosma ciliaris","Agathosma ciliaris","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"May","Dec",NA,NA,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.62,0,0,"leaf",2,"h","i","p","Agathosma ciliaris"
"Agathosma crenulata","Agathosma crenulata","Rutaceae","Agathosma crenulata","Agathosma crenulata","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Jun","Nov",NA,NA,250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",2,"h","i","p","Agathosma crenulata"
"Agathosma distans","Agathosma distans","Rutaceae","Agathosma distans","Agathosma distans","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Sep",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,1,0,0,0,2,0,0,"leaf",2,"h","i","p","Agathosma distans"
"Agathosma divaricata","Agathosma divaricata","Rutaceae","Agathosma divaricata","Agathosma divaricata","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,0.5,0,0,"leaf",2,"h","i","p","Agathosma divaricata"
"Agathosma hookeri","Agathosma hookeri","Rutaceae","Agathosma hookeri","Agathosma hookeri","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Aug","Nov",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.7,0,0,"leaf",2,"h","i","p","Agathosma hookeri"
"Agathosma imbricata","Agathosma imbricata","Rutaceae","Agathosma imbricata","Agathosma imbricata","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Jun","Jan",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.348461538,0,0,"leaf",2,"h","i","p","Agathosma imbricata"
"Agathosma kougaense","Agathosma kougaense","Rutaceae","Agathosma kougaense","Agathosma kougaense","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Jul","Nov",NA,NA,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1,0,0,"leaf",2,"m","i","p","Agathosma kougaense"
"Agathosma lanceolata","Agathosma lanceolata","Rutaceae","Agathosma lanceolata","Agathosma lanceolata","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Apr","Oct",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,0.483333333,0,0,"leaf",2,"h","i","p","Agathosma lanceolata"
"Agathosma martiana","Agathosma martiana","Rutaceae","Agathosma martiana","Agathosma martiana","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Jul","Sep",NA,NA,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.966666667,0,0,"leaf",2,"h","i","p","Agathosma martiana"
"Agathosma minuta","Agathosma minuta","Rutaceae","Agathosma minuta","Agathosma minuta","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Jun","Sep",NA,NA,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p","Agathosma minuta"
"Agathosma mucronulata","Agathosma mucronulata","Rutaceae","Agathosma mucronulata","Agathosma mucronulata","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Oct",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.7,0,0,"leaf",2,"h","i","p","Agathosma mucronulata"
"Agathosma mundtii","Agathosma mundtii","Rutaceae","Agathosma mundtii","Agathosma mundtii","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Jun","Nov",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.741111111,0,0,"leaf",2,"h","i","p","Agathosma mundtii"
"Agathosma orbicularis","Agathosma orbicularis","Rutaceae","Agathosma orbicularis","Agathosma orbicularis","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Jul","Nov",NA,NA,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,0.2,0,0,"leaf",2,"h","i","p","Agathosma orbicularis"
"Agathosma ovata","Agathosma ovata","Rutaceae","Agathosma ovata","Agathosma ovata","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Jan","Dec",NA,NA,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.007777778,0,0,"leaf",2,"h","i","i","Agathosma ovata"
"Agathosma pilifera","Agathosma pilifera","Rutaceae","Agathosma pilifera","Agathosma pilifera","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Oct",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,0.5,0,0,"leaf",2,"h","i","p","Agathosma pilifera"
