"sample_ID","scientific_name_original","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","lwc","succulence","ldmc","lwr","twig_fwc","quality_flag"
"726_30_baviaanskloof_ASH","Pelargonium myrrhifolium","Geraniaceae","Pelargonium myrrhifolium","(L.) L'Hér.","Geraniaceae",-33.54049,24.07991,"baviaanskloof","3",2011-07-26,"ASH",30,"3",8.89,6.6,0.4,2.2,0.349,0.478,0.182,0.203,0.083,204.724409448819,1.62637362637363,537.682789651294,0.380753138075314,16.5,1.44578313253012,""
"726_30_baviaanskloof_ASH","Pelargonium myrrhifolium","Geraniaceae","Pelargonium myrrhifolium","(L.) L'Hér.","Geraniaceae",-33.54049,24.07991,"baviaanskloof","2",2011-07-26,"ASH",30,"2",6.9,5.8,0.9,1.6,0.407,0.407,0.148,0.122,0.047,214.492753623188,1.75,589.855072463768,0.363636363636364,6.44444444444444,1.59574468085106,""
"726_30_baviaanskloof_ASH","Pelargonium myrrhifolium","Geraniaceae","Pelargonium myrrhifolium","(L.) L'Hér.","Geraniaceae",-33.54049,24.07991,"baviaanskloof","1",2011-07-26,"ASH",30,"3",5.13,7.8,0.3,1.1,0.309,0.259,0.091,0.082,0.029,177.38791423002,1.84615384615385,504.873294346979,0.351351351351351,26,1.82758620689655,""
"726_31_baviaanskloof_ASH","Hibiscus aethiopicus","Malvaceae","Hibiscus aethiopicus","L.","Malvaceae",-33.53947,24.07983,"baviaanskloof","1",2011-07-26,"ASH",31,"3",8.83,2.5,1.2,1.5,NA,0.356,0.092,0.071,0.029,104.190260475651,2.8695652173913,403.17100792752,0.258426966292135,2.08333333333333,1.44827586206897,""
"726_31_baviaanskloof_ASH","Hibiscus aethiopicus","Malvaceae","Hibiscus aethiopicus","L.","Malvaceae",-33.53947,24.07983,"baviaanskloof","2",2011-07-26,"ASH",31,"3",11.59,4,1.1,1.4,0.529,0.693,0.125,0.129,0.055,107.851596203624,4.544,597.92924935289,0.18037518037518,3.63636363636364,1.34545454545455,""
"726_31_baviaanskloof_ASH","Hibiscus aethiopicus","Malvaceae","Hibiscus aethiopicus","L.","Malvaceae",-33.53947,24.07983,"baviaanskloof","3",2011-07-26,"ASH",31,"3",10.03,3.3,0.9,1.3,0.526,0.385,0.109,0.075,0.035,108.673978065803,2.53211009174312,383.848454636092,0.283116883116883,3.66666666666667,1.14285714285714,""
"726_32_baviaanskloof_ASH","Gnidia juniperifolia","Thymelaeaceae","Gnidia juniperifolia","Lam.","Thymelaeaceae",-33.53947,24.07983,"baviaanskloof","1",2011-07-26,"ASH",32,"10",3.15,1.1,0.3,0.5,0.343,0.104,0.034,0.22,0.116,107.936507936508,2.05882352941176,330.15873015873,0.326923076923077,3.66666666666667,0.896551724137931,""
"726_32_baviaanskloof_ASH","Gnidia juniperifolia","Thymelaeaceae","Gnidia juniperifolia","Lam.","Thymelaeaceae",-33.53947,24.07983,"baviaanskloof","2",2011-07-26,"ASH",32,"10",3.93,1,0.4,0.5,0.34,0.115,0.039,0.097,0.053,99.236641221374,1.94871794871795,292.620865139949,0.339130434782609,2.5,0.830188679245283,""
"726_32_baviaanskloof_ASH","Gnidia juniperifolia","Thymelaeaceae","Gnidia juniperifolia","Lam.","Thymelaeaceae",-33.53947,24.07983,"baviaanskloof","3",2011-07-26,"ASH",32,"10",3.2,1,0.3,0.5,0.353,0.101,0.037,0.134,0.071,115.625,1.72972972972973,315.625,0.366336633663366,3.33333333333333,0.887323943661972,""
"726_33_baviaanskloof_ASH","Protea intonsa","Proteaceae","Protea intonsa","Rourke","Proteaceae",-33.53947,24.07983,"baviaanskloof","1",2011-07-26,"ASH",33,"2",7.06,16,0.2,0.3,1.256,0.84,0.406,NA,NA,575.070821529745,1.06896551724138,1189.80169971671,0.483333333333333,80,NA,""
