scientific_name_original,scientific_name_MG,family_MG,scientific_name_WFO,scientific_name_authorship_WFO,family_WFO,perennial,annual,monoecious,dioecious,evergreen,deciduous,seasonally_apparent,seasonally_identifiable,flower_postfire,resprout_postfire,serotinous,flower_begin,flower_end,flower_begin_alt,flower_end_alt,max_height_cm,herb,geophyte,graminoid,low_shrub,mid_shrub,tall_shrub,tree,scrambler,liana,hemiparasite,parasite,missing_growthform_class,succulent,leaf_succulent,stem_succulent,other_succulent,lvs_linear,lvs_shape_other,lvs_oval,lvs_compound,lvs_lobed,lvs_dissected,leaf_length,virtually_no_leaves,stems_photosynthetic,functional_leaf,plant_longevity,flammability,pollination,dispersal,lvs_frond,lvs_cladode,lvs_phyllode,lvs_microphyll
Cyclopia subternata,Cyclopia subternata,Fabaceae,Cyclopia subternata,Vogel,Fabaceae,1,0,1,0,1,0,0,1,0,1,0,Sep,Sep,NA,NA,350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,leaf,3,h,i,p,0,0,0,0
Cymbopogon marginatus,Cymbopogon marginatus,Poaceae,Cymbopogon marginatus,(Steud.) Stapf,Poaceae,1,0,1,0,1,0,0,0,0,0,0,Oct,May,NA,NA,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32.26296296,0,0,leaf,2,h,w,w,0,0,0,0
Cynanchum africanum,Cynanchum africanum,Apocynaceae,Cynanchum africanum,(L.) Hoffmanns.,Apocynaceae,1,0,1,0,1,0,0,0,0,0,0,Jun,Dec,NA,NA,60,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,NA,0,1,mixed,2,l,i,w,0,0,0,0
Cynanchum obtusifolium,Cynanchum obtusifolium,Apocynaceae,Cynanchum obtusifolium,L.f.,Apocynaceae,1,0,1,0,1,0,0,0,0,1,0,Jan,Dec,NA,NA,300,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,NA,0,1,mixed,2,l,i,w,0,0,0,0
Cynodon dactylon,Cynodon dactylon,Poaceae,Cynodon dactylon,(L.) Pers.,Poaceae,1,0,1,0,1,0,0,0,0,1,0,Sep,May,NA,NA,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.954545455,0,1,leaf,2,l,i,w,0,0,0,0
Cyperus thunbergii,Mariscus thunbergii,Cyperaceae,Cyperus thunbergii,Vahl,Cyperaceae,1,0,1,0,1,0,0,0,0,1,0,Jun,Dec,NA,NA,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,3,h,w,p,0,0,0,0
Cyperus uitenhagensis,Mariscus uitenhagensis,Cyperaceae,Cyperus uitenhagensis,(Steud.) C.Archer & Goetgh.,Cyperaceae,1,0,1,0,1,0,0,0,0,1,0,Oct,Mar,NA,NA,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,2,l,w,p,0,0,0,0
Cyphia angustiloba,Cyphia volubilis,Campanulaceae,Cyphia volubilis,Willd.,Campanulaceae,1,0,1,0,1,0,0,1,0,1,0,Aug,Oct,NA,NA,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,NA,0,1,mixed,2,l,i,p,0,0,0,0
Cyphia digitata,Cyphia digitata,Campanulaceae,Cyphia digitata,Willd.,Campanulaceae,1,0,1,0,1,0,1,1,0,1,0,Jul,Oct,NA,NA,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.166666667,0,1,mixed,2,l,i,p,0,0,0,0
Cyphia linarioides,Cyphia bulbosa,Campanulaceae,Cyphia linarioides,C.Presl,Campanulaceae,1,0,1,0,1,0,1,1,1,1,0,Aug,Nov,NA,NA,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.566666667,0,1,mixed,2,l,i,p,0,0,0,0
Cyphia undulata,Cyphia undulata,Campanulaceae,Cyphia undulata,Eckl. ex C.Presl,Campanulaceae,1,0,1,0,1,0,1,1,0,1,0,Apr,Oct,NA,NA,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,1,mixed,2,l,i,p,0,0,0,0
Cyphia zeyheriana,Cyphia zeyheriana,Campanulaceae,Cyphia zeyheriana,C.Presl,Campanulaceae,1,0,1,0,1,0,1,1,0,1,0,Aug,Oct,NA,NA,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,NA,0,1,mixed,2,l,i,p,0,0,0,0
Cysticapnos cracca,Cysticapnos cracca,Fumariaceae,Cysticapnos cracca,(Cham. & Schltdl.) Lidén,Papaveraceae,0,1,1,0,0,1,1,1,0,0,0,Sep,Nov,NA,NA,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,leaf,2,l,i,m,0,0,0,0
Dasispermum hispidum,Sonderina hispida,Apiaceae,Dasispermum hispidum,(Thunb.) Magee & B.-E.van Wyk,Apiaceae,0,1,1,0,0,1,1,1,0,0,0,Sep,Jan,NA,NA,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,0,0,leaf,1,l,i,p,0,0,0,0
Delosperma ecklonis,Delosperma ecklonis,Aizoaceae,Delosperma ecklonis,(Salm-Dyck) Schwantes,Aizoaceae,1,0,1,0,1,0,0,1,0,0,0,Jul,Oct,NA,NA,20,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,25,0,0,leaf,2,l,i,p,0,0,0,0
Delosperma multiflorum,Delosperma multiflorum,Aizoaceae,Delosperma multiflorum,L.Bolus,Aizoaceae,1,0,1,0,1,0,0,1,0,0,0,Mar,Jul,NA,NA,20,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Diascia patens,Diascia patens,Scrophulariaceae,Diascia patens,(Thunb.) Grant ex Fourc.,Scrophulariaceae,1,0,1,0,1,0,0,1,0,0,0,Jul,Sep,NA,NA,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Diastella divaricata,Diastella divaricata,Proteaceae,Diastella divaricata,(P.J.Bergius) Rourke,Proteaceae,1,0,1,0,1,0,0,1,0,0,0,Jan,Dec,NA,NA,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.741666667,0,0,leaf,2,h,i,i,0,0,0,0
Diastella thymelaeoides,Diastella thymelaeoides,Proteaceae,Diastella thymelaeoides,(P.J.Bergius) Rourke,Proteaceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Nov,NA,NA,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.716,0,0,leaf,2,h,i,i,0,0,0,0
Didymodoxa capensis,Didymodoxa capensis,Urticaceae,Didymodoxa capensis,(L.f.) Friis & Wilmot-Dear,Urticaceae,0,1,1,0,0,1,1,1,0,0,0,Aug,Nov,NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,leaf,0,l,i,u,0,0,0,0
Digitaria eriantha,Digitaria eriantha,Poaceae,Digitaria eriantha,Steud.,Poaceae,1,0,1,0,1,0,0,1,0,1,0,Jan,Apr,NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,20.67777778,0,0,leaf,1,h,w,w,0,0,0,0
Dilatris corymbosa,Dilatris corymbosa,Haemodoraceae,Dilatris corymbosa,P.J.Bergius,Haemodoraceae,1,0,1,0,1,0,0,0,0,1,0,Aug,Jan,NA,NA,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31.56666667,0,0,leaf,3,m,i,w,0,0,0,0
Dilatris ixioides,Dilatris ixioides,Haemodoraceae,Dilatris ixioides,Lam.,Haemodoraceae,1,0,1,0,1,0,0,1,0,1,0,Sep,Feb,NA,NA,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,3,m,i,w,0,0,0,0
Dilatris pillansii,Dilatris pillansii,Haemodoraceae,Dilatris pillansii,W.F.Barker,Haemodoraceae,1,0,1,0,1,0,0,0,0,1,0,Aug,Jan,NA,NA,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.07857143,0,0,leaf,3,m,i,w,0,0,0,0
Dimorphotheca acutifolia,Dimorphotheca acutifolia,Asteraceae,Dimorphotheca acutifolia,Hutch.,Asteraceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Nov,NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.094,0,0,leaf,2,m,i,w,0,0,0,0
Dimorphotheca nudicaulis,Dimorphotheca nudicaulis,Asteraceae,Dimorphotheca nudicaulis,DC.,Asteraceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Oct,NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.82,0,0,leaf,2,m,i,w,0,0,0,0
Dioscorea elephantipes,Dioscorea elephantipes,Dioscoreaceae,Dioscorea elephantipes,(L'Hér.) Engl.,Dioscoreaceae,1,0,1,0,0,1,0,0,0,1,0,Nov,Feb,NA,NA,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,NA,0,0,leaf,3,l,i,w,0,0,0,0
Diosma acmaeophylla,Diosma acmaeophylla,Rutaceae,Diosma acmaephylla,Eckl. & Zeyh.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Aug,Oct,NA,NA,250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.929,0,0,leaf,2,h,i,p,0,0,0,0
Diosma hirsuta,Diosma hirsuta,Rutaceae,Diosma hirsuta,L.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Sep,Nov,NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.914444444,0,0,leaf,2,h,i,p,0,0,0,0
Diosma meyeriana,Diosma meyeriana,Rutaceae,Diosma meyeriana,Spreng.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jul,Dec,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Diosma oppositifolia,Diosma oppositifolia,Rutaceae,Diosma oppositifolia,L.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Sep,Jan,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.508181818,0,0,leaf,3,h,i,p,0,0,0,0
Diosma prama,Diosma prama,Rutaceae,Diosma prama,I.Williams,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Sep,Dec,NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.283333333,0,0,leaf,2,h,i,p,0,0,0,0
Diosma rourkei,Diosma rourkei,Rutaceae,Diosma rourkei,I.Williams,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Jun,Aug,NA,NA,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Diosma tenella,Diosma tenella,Rutaceae,Diosma tenella,I.Williams,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jun,Dec,NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Diospyros austro-africana,Diospyros austro-africana,Ebenaceae,Diospyros pubescens,Pers.,Ebenaceae,1,0,0,1,1,0,0,0,0,1,0,Aug,Oct,NA,NA,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.82,0,0,leaf,3,h,i,m,0,0,0,0
Diospyros dichrophylla,Diospyros dichrophylla,Ebenaceae,Diospyros dichrophylla,(Gand.) De Winter,Ebenaceae,1,0,0,1,1,0,0,0,0,0,0,Nov,Mar,NA,NA,1300,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.916666667,0,0,leaf,3,h,i,m,0,0,0,0
Diospyros glabra,Diospyros glabra,Ebenaceae,Diospyros glabra,(L.) De Winter,Ebenaceae,1,0,0,1,1,0,0,0,0,1,0,Oct,Dec,NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.905555556,0,0,leaf,3,h,i,m,0,0,0,0
Diospyros scabrida,Diospyros scabrida,Ebenaceae,Diospyros scabrida,(Harv. ex Hiern) De Winter,Ebenaceae,1,0,0,1,1,0,0,0,0,0,0,Nov,Apr,NA,NA,300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.918333333,0,0,leaf,3,h,i,m,0,0,0,0
Diospyros whyteana,Diospyros whyteana,Ebenaceae,Diospyros whyteana,(Hiern) F.White,Ebenaceae,1,0,0,1,1,0,0,0,0,0,0,Aug,Nov,NA,NA,600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.8,0,0,leaf,3,h,i,m,0,0,0,0
Disa obliqua,Schizodium obliquum,Orchidaceae,Disa obliqua,(Lindl.) Bolus,Orchidaceae,1,0,1,0,0,1,1,1,0,1,0,Aug,Sep,NA,NA,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Dischisma ciliatum,Dischisma ciliatum,Scrophulariaceae,Dischisma ciliatum,(P.J.Bergius) Choisy,Scrophulariaceae,1,0,1,0,1,0,1,1,0,0,0,Aug,Nov,NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,1,l,i,p,0,0,0,0
Disparago anomala,Disparago anomala,Asteraceae,Stoebe anomala,(Schltr. ex Levyns) N.G.Bergh,Asteraceae,1,0,1,0,1,0,0,0,0,0,0,Dec,Apr,NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,2,h,i,w,0,0,0,0
Disparago tortilis,Disparago ericoides,Asteraceae,Stoebe tortilis,DC.,Asteraceae,1,0,1,0,1,0,0,0,0,0,0,Nov,Mar,NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.447692308,0,0,leaf,2,h,i,w,0,0,0,0
Disperis capensis,Disperis capensis,Orchidaceae,Disperis capensis,(L.) Sw.,Orchidaceae,1,0,1,0,0,1,1,1,0,1,0,Jul,Sep,NA,NA,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Disperis paludosa,Disperis paludosa,Orchidaceae,Disperis paludosa,Harv. ex Lindl.,Orchidaceae,1,0,1,0,0,1,1,1,1,1,0,Nov,Jan,NA,NA,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Dodonaea viscosa,Dodonaea angustifolia,Sapindaceae,Dodonaea viscosa,Jacq.,Sapindaceae,1,0,1,0,1,0,0,0,0,1,0,Jul,Oct,NA,NA,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.247619048,0,0,leaf,3,h,w,w,0,0,0,0
Dolichothrix ericoides,Dolichothrix ericoides,Asteraceae,Dolichothrix ericoides,(Lam.) Hilliard & B.L.Burtt,Asteraceae,1,0,1,0,1,0,0,0,0,1,0,Nov,Feb,NA,NA,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,3,m,i,w,0,0,0,0
Drimia capensis,Drimia capensis,Hyacinthaceae,Urginavia capensis,"(Burm.f.) Mart.-Azorín, M.B.Crespo & M.Á.Alonso",Asparagaceae,1,0,1,0,0,1,1,1,0,1,0,Dec,Mar,NA,NA,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,0,leaf,3,l,i,w,0,0,0,0
Drimia intricata,Drimia intricata,Hyacinthaceae,Schizobasis intricata,(Baker) Baker,Asparagaceae,1,0,1,0,0,1,1,1,0,1,0,Jan,Mar,NA,NA,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,2,l,i,w,0,0,0,0
Drosanthemum candens,Drosanthemum candens,Aizoaceae,Drosanthemum candens,(Haw.) Schwantes,Aizoaceae,1,0,1,0,1,0,0,1,0,0,0,Oct,Jan,NA,NA,20,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1.02,0,1,mixed,2,l,i,p,0,0,0,0
Drosanthemum delicatulum,Drosanthemum delicatulum,Aizoaceae,Drosanthemum delicatulum,(L.Bolus) Schwantes,Aizoaceae,1,0,1,0,1,0,0,1,0,0,0,Oct,Nov,NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,NA,0,1,leaf,2,l,i,p,0,0,0,0
Drosanthemum lique,Drosanthemum lique,Aizoaceae,Drosanthemum lique,(N.E.Br.) Schwantes,Aizoaceae,1,0,1,0,1,0,0,1,0,0,0,Oct,Feb,NA,NA,45,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,NA,0,0,leaf,3,l,i,p,0,0,0,0
Drosera aliciae,Drosera aliciae,Droseraceae,Drosera aliciae,Raym.-Hamet,Droseraceae,1,0,1,0,1,0,0,0,0,1,0,Nov,Jan,NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1.6375,0,0,leaf,1,l,i,p,0,0,0,0
Drosera glabripes,Drosera glabripes,Droseraceae,Drosera glabripes,(Harv.) Stein,Droseraceae,1,0,1,0,1,0,0,0,0,0,0,Dec,Jan,NA,NA,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,NA,0,0,leaf,1,l,i,p,0,0,0,0
Drosera trinervia,Drosera trinervia,Droseraceae,Drosera trinervia,Spreng.,Droseraceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Nov,NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1.1,0,0,leaf,1,l,i,p,0,0,0,0
Dyschoriste setigera,Chaetacanthus setiger,Acanthaceae,Dyschoriste setigera,(Pers.) J.C.Manning & Goldblatt,Acanthaceae,1,0,1,0,1,0,0,0,0,1,0,Aug,Jan,NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Edmondia pinifolia,Edmondia pinifolia,Asteraceae,Edmondia pinifolia,(Lam.) Hilliard,Asteraceae,1,0,1,0,1,0,0,0,0,0,0,Sep,Dec,NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,1,l,i,w,0,0,0,0
Edmondia sesamoides,Edmondia sesamoides,Asteraceae,Edmondia sesamoides,(L.) Hilliard,Asteraceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Dec,NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.182105263,0,0,leaf,1,l,i,w,0,0,0,0
Ehretia rigida,Ehretia rigida,Boraginaceae,Ehretia rigida,(Thunb.) Druce,Ehretiaceae,1,0,1,0,1,0,0,0,0,1,0,Aug,Sep,NA,NA,600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.99,0,0,leaf,3,m,i,m,0,0,0,0
Ehrharta brevifolia,Ehrharta brevifolia,Poaceae,Ehrharta brevifolia,Schrad.,Poaceae,0,1,1,0,0,1,1,1,0,0,0,Aug,Nov,NA,NA,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,1,mixed,1,m,w,w,0,0,0,0
Ehrharta bulbosa,Ehrharta bulbosa,Poaceae,Ehrharta bulbosa,Sm.,Poaceae,1,0,1,0,1,0,0,1,1,1,0,Oct,Dec,NA,NA,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.62,0,1,mixed,2,h,w,w,0,0,0,0
Ehrharta calycina,Ehrharta calycina,Poaceae,Ehrharta calycina,Sm.,Poaceae,1,1,1,0,1,0,0,1,0,1,0,Jul,Dec,NA,NA,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.15,0,0,mixed,1,h,w,w,0,0,0,0
Ehrharta capensis,Ehrharta capensis,Poaceae,Ehrharta capensis,Thunb.,Poaceae,1,0,1,0,1,0,0,1,1,1,0,Sep,Dec,NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,mixed,2,h,w,w,0,0,0,0
Ehrharta dura,Ehrharta dura,Poaceae,Ehrharta dura,Nees,Poaceae,1,0,1,0,1,0,0,0,1,1,0,Oct,Feb,NA,NA,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.5625,0,0,leaf,3,h,w,w,0,0,0,0
Ehrharta ramosa,Ehrharta ramosa,Poaceae,Ehrharta ramosa,Thunb.,Poaceae,1,0,1,0,1,0,0,0,0,1,0,Sep,Jan,NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49.8728125,0,0,mixed,2,h,w,w,0,0,0,0
Ehrharta rehmannii,Ehrharta rehmannii,Poaceae,Ehrharta rehmannii,Stapf,Poaceae,1,0,1,0,1,0,0,1,0,0,0,Aug,Jan,NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,mixed,2,m,w,w,0,0,0,0
Ehrharta rupestris,Ehrharta rupestris,Poaceae,Ehrharta rupestris,Nees,Poaceae,1,0,1,0,1,0,0,1,0,0,0,Nov,Feb,NA,NA,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,mixed,2,m,w,w,0,0,0,0
Ehrharta setacea,Ehrharta setacea,Poaceae,Ehrharta setacea,Nees,Poaceae,1,0,1,0,1,0,0,1,0,1,0,Sep,Jan,NA,NA,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.498,0,0,mixed,2,m,w,w,0,0,0,0
Ehrharta villosa,Ehrharta villosa,Poaceae,Ehrharta villosa,Schult.f.,Poaceae,1,0,1,0,1,0,0,0,0,1,0,Sep,Mar,NA,NA,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79.5,1,0,culm_stem,2,h,w,w,0,0,0,0
Elaphoglossum angustatum,Elaphoglossum angustatum,Lomariopsidaceae,Elaphoglossum angustatum,(Schrader) Hieron.,Dryopteridaceae,1,0,1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,3,l,w,w,1,0,0,0
Elegia capensis,Elegia capensis,Restionaceae,Elegia capensis,(Burm.f.) Schelpe,Restionaceae,1,0,0,1,1,0,0,0,0,1,0,Mar,Nov,NA,NA,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.53333333,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia cuspidata,Elegia cuspidata,Restionaceae,Elegia cuspidata,Mast.,Restionaceae,1,0,0,1,1,0,0,0,0,0,0,Oct,Jan,NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia deustum,Chondropetalum deustum,Restionaceae,Elegia deusta,(Rottb.) Kunth,Restionaceae,1,0,0,1,1,0,0,0,0,0,0,Mar,Apr,NA,NA,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia dregeana,Elegia asperiflora,Restionaceae,Elegia asperiflora,(Nees) Kunth,Restionaceae,1,0,0,1,1,0,0,0,0,1,0,Nov,Feb,NA,NA,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,116.72,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia ebracteata,Chondropetalum ebracteatum,Restionaceae,Elegia ebracteata,(Kunth) Moline & H.P.Linder,Restionaceae,1,0,0,1,1,0,0,0,0,0,0,Oct,Apr,NA,NA,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57.98,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia equisetacea,Elegia equisetacea,Restionaceae,Elegia equisetacea,Mast.,Restionaceae,1,0,0,1,1,0,0,0,0,0,0,Sep,Sep,NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.18,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia filacea,Elegia filacea,Restionaceae,Elegia filacea,Mast.,Restionaceae,1,0,0,1,1,0,0,0,0,0,0,Feb,Feb,NA,NA,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.55416667,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia fistulosa,Elegia fistulosa,Restionaceae,Elegia fistulosa,Kunth,Restionaceae,1,0,0,1,1,0,0,0,0,0,0,Apr,Nov,NA,NA,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia galpinii,Elegia galpinii,Restionaceae,Elegia galpinii,N.E.Br.,Restionaceae,1,0,0,1,1,0,0,0,0,1,0,Aug,Aug,NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.08,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia hookeriana,Elegia hookeriana,Restionaceae,Elegia hookeriana,(Mast.) Moline & H.P.Linder,Restionaceae,1,0,0,1,1,0,0,0,0,0,0,Feb,Mar,NA,NA,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33.24,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia juncea,Elegia juncea,Restionaceae,Elegia juncea,L.,Restionaceae,1,0,0,1,1,0,0,0,0,1,0,Aug,Aug,NA,NA,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61.6,1,1,culm_stem,2,h,w,p,0,0,0,0
Elegia microcarpa,Chondropetalum microcarpum,Restionaceae,Elegia microcarpa,(Kunth) Moline & H.P.Linder,Restionaceae,1,0,0,1,1,0,0,0,0,0,0,Apr,Apr,NA,NA,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.16666667,1,1,culm_stem,2,h,w,p,0,0,0,0
