Column.Name,Description,Variable.class,Variable.Range.Categories,Units,Number.missing
X930,NA,numeric,21.59502793 - 85.8879887,NA,0
X931,NA,numeric,21.6864114 - 85.85567684,NA,0
X932,NA,numeric,21.51158356 - 85.79476184,NA,0
X933,NA,numeric,21.46894927 - 85.66327481,NA,0
X934,NA,numeric,21.38202861 - 85.64639458,NA,0
X935,NA,numeric,21.31359762 - 85.5412668,NA,0
X936,NA,numeric,21.24742219 - 85.49151264,NA,0
X937,NA,numeric,21.33984907 - 85.38226971,NA,0
X938,NA,numeric,21.09978186 - 85.36862697,NA,0
X939,NA,numeric,21.03789564 - 85.3031741,NA,0
X940,NA,numeric,21.04181489 - 85.24539606,NA,0
X941,NA,numeric,20.96713309 - 85.04069894,NA,0
X942,NA,numeric,20.98800532 - 84.94446673,NA,0
X943,NA,numeric,20.92300372 - 84.79208102,NA,0
X944,NA,numeric,20.79484839 - 84.6190091,NA,0
X945,NA,numeric,20.67375556 - 84.45813091,NA,0
X946,NA,numeric,20.79176433 - 84.33535316,NA,0
X947,NA,numeric,20.57996061 - 84.14083683,NA,0
X948,NA,numeric,20.42796352 - 83.95071221,NA,0
X949,NA,numeric,20.36271701 - 83.84322189,NA,0
year,NA,numeric,2010 - 2014,NA,0
