"","region","MeanWinterPrProp","SdWinterPrProp"
"1","Baviaanksloof",0.188113789983907,0.008174229149151
"2","Cape Point",0.468836881381914,0.00260309902634897
"3","Cederberg",0.49124850731526,0.00494347009871741
"4","HTR",0.396837349811479,0.0496098628254611
"5","Hangklip",0.429998151822351,0.00591261623290998
"6","Langeberg",0.206392124473497,0.00748842869133992
