"","field_1","NewUID","finalname","family_GM","latitude","longitude","region","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C","ai","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","clt_max","clt_mean","clt_min","clt_range","cmi_max","cmi_mean","cmi_min","cmi_range","fcf","fgd","gdd0","gdd10","gdd5","gddlgd0","gddlgd10","gddlgd5","gdgfgd0","gdgfgd10","gdgfgd5","gsl","gsp","gst","hurs_max","hurs_mean","hurs_min","hurs_range","kg0","kg1","kg2","kg3","kg4","kg5","lgd","ngd0","ngd10","ngd5","npp","pet_penman_max","pet_penman_mean","pet_penman_min","pet_penman_range","rsds_19812010_max_V21","rsds_19812010_mean_V21","rsds_19812010_min_V21","rsds_19812010_range_V21","scd","sfcWind_max","sfcWind_mean","sfcWind_min","sfcWind_range","swb","swe","vpd_max","vpd_mean","vpd_min","vpd_range","geometry","MAT","MAP"
"619",619,"806_22_HTR","Cephalophyllum framesii","AIZOACEAE",-31.89687,19.52036,"HTR",806,"EPO",22,6,75,56,3298.672286,"1","N","1.266793525","41.17053345","44.9355712","6.8802638","-25.05815884",0.128845319151878,2923,2984,2857,2027,309,49,466,816,229,229,803,142,5.15000009536743,4932,3067,2792,275,2866,2984,2325,1625,694,1631,-274,-1139,-2075,1801,NA,46,69897,33397,51647,NA,NA,NA,NA,NA,NA,67,1978,2880,5390,4985,4702,688,8,8,8,4,10,28,46,365,365,365,3650,21224,13028,5533,15691,31113,21077,10528,20585,0,3319,2996,2640,679,-1367,NA,17520,11789,6564,10956,c(19.52036, -31.89687),19.15,202.7
"620",620,"806_23_HTR","Cephalophyllum curtophyllum","AIZOACEAE",-31.88277,19.49961,"HTR",806,"EPO",23,5,16,16,201.0619298,"1","N","0.553940665","36.93928426","66.68455052","7.153888443","-21.39327546",0.135505884885788,2921,2981,2855,2116,327,50,479,864,233,233,851,141,5.15999984741211,4911,3064,2791,273,2864,2981,2342,1635,700,1642,-256,-1135,-2084,1828,NA,46,69168,32668,50918,NA,NA,NA,NA,NA,NA,70,2066,2878,5375,4990,4712,663,8,8,8,4,10,26,46,365,365,365,3800,21326,13062,5531,15795,31100,21016,10441,20659,0,3440,3106,2739,701,-1362,NA,17220,11618,6521,10699,c(19.49961, -31.88277),18.95,211.6
"621",621,"806_24_HTR","Eriocephalus spinescens","ASTERACEAE",-31.88277,19.49961,"HTR",806,"EPO",24,28,54,39,1654.048532,"4","L","1.980203671","43.67065588","22.05361828","7.596069568","-25.23955688",0.135505884885788,2921,2981,2855,2116,327,50,479,864,233,233,851,141,5.15999984741211,4911,3064,2791,273,2864,2981,2342,1635,700,1642,-256,-1135,-2084,1828,NA,46,69168,32668,50918,NA,NA,NA,NA,NA,NA,70,2066,2878,5375,4990,4712,663,8,8,8,4,10,26,46,365,365,365,3800,21326,13062,5531,15795,31100,21016,10441,20659,0,3440,3106,2739,701,-1362,NA,17220,11618,6521,10699,c(19.49961, -31.88277),18.95,211.6
"622",622,"806_25_HTR","Augea capensis","ZYGOPHYLLACEAE",-31.88277,19.49961,"HTR",806,"EPO",25,20,28,21,461.8141201,"2","N","0.688037526","16.89005501","24.54815961","5.658380031","-24.76319438",0.135505884885788,2921,2981,2855,2116,327,50,479,864,233,233,851,141,5.15999984741211,4911,3064,2791,273,2864,2981,2342,1635,700,1642,-256,-1135,-2084,1828,NA,46,69168,32668,50918,NA,NA,NA,NA,NA,NA,70,2066,2878,5375,4990,4712,663,8,8,8,4,10,26,46,365,365,365,3800,21326,13062,5531,15795,31100,21016,10441,20659,0,3440,3106,2739,701,-1362,NA,17220,11618,6521,10699,c(19.49961, -31.88277),18.95,211.6
"623",623,"806_26_HTR","NA","NA",-31.8719,19.47399,"HTR",806,"EPO",26,41,53,45,1873.17462,"2","L","1.480724257","45.52812068","30.74719717","7.672210517","-27.37459136",0.144104823470116,2918,2977,2853,2227,351,52,495,925,237,237,913,140,5.15999984741211,4846,3061,2789,272,2862,2977,2380,1661,721,1659,-272,-1164,-2127,1855,NA,46,68013,31513,49763,NA,NA,NA,NA,NA,NA,75,2175,2876,5341,4990,4724,617,8,8,8,4,10,26,46,365,365,365,3985,21770,13446,5907,15863,31101,21002,10423,20678,0,3856,3486,3079,776,-1397,NA,16797,11380,6460,10337,c(19.47399, -31.8719),18.65,222.7
"624",624,"806_27_HTR","Ruschia decurvans","AIZOACEAE",-31.85319,19.44261,"HTR",806,"EPO",27,95,126,89,8807.455004,"4","N","0.681216849","39.57834031","58.09947356","10.37326188","-24.0228603",0.150080814957619,2918,2977,2853,2313,372,52,512,977,238,238,965,140,5.15999984741211,4822,3061,2790,271,2862,2977,2426,1690,733,1693,-220,-1114,-2072,1852,NA,46,67921,31421,49671,NA,NA,NA,NA,NA,NA,79,2261,2875,5360,5007,4736,624,8,8,8,4,10,26,46,365,365,365,4128,21224,13011,5575,15650,31067,20959,10382,20685,0,3592,3254,2880,711,-1336,NA,16688,11315,6443,10245,c(19.44261, -31.85319),18.65,231.3
"625",625,"806_28_HTR","Pelargonium magenteum","GERANIACEAE",-31.85319,19.44261,"HTR",806,"EPO",28,20,23,19,343.2189974,"2","B","2.697421771","45.18330968","16.75055424","9.741682465","-27.21984941",0.150080814957619,2918,2977,2853,2313,372,52,512,977,238,238,965,140,5.15999984741211,4822,3061,2790,271,2862,2977,2426,1690,733,1693,-220,-1114,-2072,1852,NA,46,67921,31421,49671,NA,NA,NA,NA,NA,NA,79,2261,2875,5360,5007,4736,624,8,8,8,4,10,26,46,365,365,365,4128,21224,13011,5575,15650,31067,20959,10382,20685,0,3592,3254,2880,711,-1336,NA,16688,11315,6443,10245,c(19.44261, -31.85319),18.65,231.3
"626",626,"806_29_HTR","Hirpicium alienatum","ASTERACEAE",-31.85319,19.44261,"HTR",806,"EPO",29,23,29,29,660.5198554,"4","B","1.424786874","42.15256158","29.58516979","9.218457482","-28.37080594",0.150080814957619,2918,2977,2853,2313,372,52,512,977,238,238,965,140,5.15999984741211,4822,3061,2790,271,2862,2977,2426,1690,733,1693,-220,-1114,-2072,1852,NA,46,67921,31421,49671,NA,NA,NA,NA,NA,NA,79,2261,2875,5360,5007,4736,624,8,8,8,4,10,26,46,365,365,365,4128,21224,13011,5575,15650,31067,20959,10382,20685,0,3592,3254,2880,711,-1336,NA,16688,11315,6443,10245,c(19.44261, -31.85319),18.65,231.3
"627",627,"806_2_HTR","Ruschia cradockensis","AIZOACEAE",-31.62858,19.74865,"HTR",806,"EPO",2,34,54,52,2205.398043,"4","N","0.901314997","40.12746256","44.5210195","4.057082374","-25.40477706",0.250864446163177,2891,2950,2826,3516,481,91,387,1308,466,466,1274,134,5.09999990463257,4841,3028,2766,262,2834,2950,2465,1780,786,1679,-130,-983,-1954,1824,NA,16,58065,22110,39815,NA,157,NA,NA,226,NA,133,3516,2854,5268,4903,4641,627,7,7,7,9,9,24,16,365,297,365,6045,20448,12671,5653,14795,31398,21401,10821,20577,0,4060,3744,3367,694,-1179,NA,14517,9759,5513,9004,c(19.74865, -31.62858),15.95,351.6
"628",628,"806_3_HTR","Pteronia glomerata","ASTERACEAE",-31.62858,19.74865,"HTR",806,"EPO",3,37,70,68,3738.495258,"3","L","1.779793407","45.16751818","25.37795567","4.549220717","-28.08176912",0.250864446163177,2891,2950,2826,3516,481,91,387,1308,466,466,1274,134,5.09999990463257,4841,3028,2766,262,2834,2950,2465,1780,786,1679,-130,-983,-1954,1824,NA,16,58065,22110,39815,NA,157,NA,NA,226,NA,133,3516,2854,5268,4903,4641,627,7,7,7,9,9,24,16,365,297,365,6045,20448,12671,5653,14795,31398,21401,10821,20577,0,4060,3744,3367,694,-1179,NA,14517,9759,5513,9004,c(19.74865, -31.62858),15.95,351.6
"629",629,"806_4_HTR","NA","NA",-31.63813,19.74711,"HTR",806,"EPO",4,7,16,9,113.0973355,"0","B","3.372538336","42.81476171","12.69511491","-1.282618646","-29.47789897",0.254789799451828,2892,2951,2827,3584,494,93,391,1341,473,473,1307,134,5.09999990463257,4849,3029,2767,262,2835,2951,2465,1780,786,1679,-106,-959,-1926,1820,NA,16,58460,22439,40210,NA,158,NA,NA,224,NA,135,3584,2855,5274,4906,4637,637,7,7,7,9,9,24,16,365,300,365,6149,20178,12488,5523,14655,31383,21468,10936,20447,0,3881,3581,3219,663,-1151,NA,14620,9825,5548,9072,c(19.74711, -31.63813),16.05,358.4
"630",630,"806_5_HTR","Holothrix secunda","ORCHIDACEAE",-31.63813,19.74711,"HTR",806,"EPO",5,7,9,3,21.20575041,"0","S","1.907959291","40.56184303","21.25928117","0.272081549","-25.39235048",0.254789799451828,2892,2951,2827,3584,494,93,391,1341,473,473,1307,134,5.09999990463257,4849,3029,2767,262,2835,2951,2465,1780,786,1679,-106,-959,-1926,1820,NA,16,58460,22439,40210,NA,158,NA,NA,224,NA,135,3584,2855,5274,4906,4637,637,7,7,7,9,9,24,16,365,300,365,6149,20178,12488,5523,14655,31383,21468,10936,20447,0,3881,3581,3219,663,-1151,NA,14620,9825,5548,9072,c(19.74711, -31.63813),16.05,358.4
"631",631,"806_6_HTR","Tylecodon paniculatus","CRASSULACEAE",-31.67749,19.75519,"HTR",806,"EPO",6,87,75,75,4417.864669,"3","N","0.989219458","35.3177398","35.70263354","2.303180605","-15.40264189",0.259546101093292,2900,2960,2835,3731,536,94,416,1445,468,468,1415,133,5.09000015258789,4860,3037,2775,262,2844,2960,2493,1779,779,1714,63,-820,-1830,1893,NA,16,61472,25044,43222,NA,169,NA,NA,204,NA,138,3731,2862,5303,4922,4614,689,7,7,7,9,9,24,16,365,331,365,6372,19227,11214,4187,15040,31132,20274,9291,21841,0,3171,2933,2632,540,-981,NA,15463,10327,5811,9652,c(19.75519, -31.67749),16.85,373.1
"632",632,"806_7_HTR","NA","NA",-31.67749,19.75519,"HTR",806,"EPO",7,58,78,62,3798.185518,"4","N","0.776917005","38.25234851","49.2360809","3.975387409","-23.19680514",0.259546101093292,2900,2960,2835,3731,536,94,416,1445,468,468,1415,133,5.09000015258789,4860,3037,2775,262,2844,2960,2493,1779,779,1714,63,-820,-1830,1893,NA,16,61472,25044,43222,NA,169,NA,NA,204,NA,138,3731,2862,5303,4922,4614,689,7,7,7,9,9,24,16,365,331,365,6372,19227,11214,4187,15040,31132,20274,9291,21841,0,3171,2933,2632,540,-981,NA,15463,10327,5811,9652,c(19.75519, -31.67749),16.85,373.1
"633",633,"806_8_HTR","Montinia caryophyllacea","MONTINIACEAE",-31.67749,19.75519,"HTR",806,"EPO",8,163,170,150,20027.65317,"4","N","2.44693695","45.30583313","18.5153251","2.639723947","-26.53161781",0.259546101093292,2900,2960,2835,3731,536,94,416,1445,468,468,1415,133,5.09000015258789,4860,3037,2775,262,2844,2960,2493,1779,779,1714,63,-820,-1830,1893,NA,16,61472,25044,43222,NA,169,NA,NA,204,NA,138,3731,2862,5303,4922,4614,689,7,7,7,9,9,24,16,365,331,365,6372,19227,11214,4187,15040,31132,20274,9291,21841,0,3171,2933,2632,540,-981,NA,15463,10327,5811,9652,c(19.75519, -31.67749),16.85,373.1
"634",634,"806_9_HTR","Felicia hirta","ASTERACEAE",-31.67749,19.75519,"HTR",806,"EPO",9,52,42,16,527.7875658,"3","B","2.504606761","43.55427714","17.38966684","2.198767992","-30.32452007",0.259546101093292,2900,2960,2835,3731,536,94,416,1445,468,468,1415,133,5.09000015258789,4860,3037,2775,262,2844,2960,2493,1779,779,1714,63,-820,-1830,1893,NA,16,61472,25044,43222,NA,169,NA,NA,204,NA,138,3731,2862,5303,4922,4614,689,7,7,7,9,9,24,16,365,331,365,6372,19227,11214,4187,15040,31132,20274,9291,21841,0,3171,2933,2632,540,-981,NA,15463,10327,5811,9652,c(19.75519, -31.67749),16.85,373.1
"635",635,"808_10_HTR","Gazania krebsiana","ASTERACEAE",-31.49766,19.92908,"HTR",808,"EPO",10,9,20,15,235.619449,"1","B","2.860748474","37.65291441","13.16191016","5.96869039","-28.03568929",0.152200669050217,2896,2959,2826,2209,276,69,333,769,323,330,748,138,5.05999994277954,5148,3036,2763,273,2834,2946,2416,1780,817,1599,-223,-1018,-1928,1705,NA,16,59795,23872,41545,NA,157,NA,NA,222,NA,77,2209,2859,5390,4918,4544,846,5,5,5,4,10,26,16,365,301,365,3955,19967,11960,4787,15180,31464,20887,10028,21436,0,3836,3480,3127,708,-1221,NA,15603,10135,5369,10234,c(19.92908, -31.49766),16.45,220.9
"636",636,"808_11_HTR","NA","NA",-31.49738,19.74346,"HTR",808,"EPO",11,35,60,50,2356.19449,"4","S","1.109141097","33.91092107","30.57403712","6.235308716","-22.25084589",0.1668930798769,2900,2960,2833,2414,328,66,381,898,327,327,875,135,5.05999994277954,4923,3038,2772,266,2842,2960,2412,1748,786,1626,-264,-1053,-1929,1666,NA,16,61288,24937,43038,NA,166,NA,NA,210,NA,85,2414,2863,5313,4924,4624,689,7,7,7,4,10,26,16,365,322,365,4295,19949,12482,5640,14309,31347,21580,11150,20197,0,3705,3391,3065,641,-1264,NA,15415,10300,5720,9695,c(19.74346, -31.49738),16.85,241.4
"637",637,"808_12_HTR","Rosenia humilis","ASTERACEAE",-31.49738,19.74346,"HTR",808,"EPO",12,30,60,50,2356.19449,"4","B","3.035289782","44.70107549","14.72711955","4.903215657","-28.81499984",0.1668930798769,2900,2960,2833,2414,328,66,381,898,327,327,875,135,5.05999994277954,4923,3038,2772,266,2842,2960,2412,1748,786,1626,-264,-1053,-1929,1666,NA,16,61288,24937,43038,NA,166,NA,NA,210,NA,85,2414,2863,5313,4924,4624,689,7,7,7,4,10,26,16,365,322,365,4295,19949,12482,5640,14309,31347,21580,11150,20197,0,3705,3391,3065,641,-1264,NA,15415,10300,5720,9695,c(19.74346, -31.49738),16.85,241.4
"638",638,"808_13_HTR","Lachenalia obscura","HYACINTHACEAE",-31.49738,19.74346,"HTR",808,"EPO",13,13,1,1,0.785398163,"0","N","NA","NA","NA","NA","NA",0.1668930798769,2900,2960,2833,2414,328,66,381,898,327,327,875,135,5.05999994277954,4923,3038,2772,266,2842,2960,2412,1748,786,1626,-264,-1053,-1929,1666,NA,16,61288,24937,43038,NA,166,NA,NA,210,NA,85,2414,2863,5313,4924,4624,689,7,7,7,4,10,26,16,365,322,365,4295,19949,12482,5640,14309,31347,21580,11150,20197,0,3705,3391,3065,641,-1264,NA,15415,10300,5720,9695,c(19.74346, -31.49738),16.85,241.4
"639",639,"808_14_HTR","Pelargonium praemorsum","GERANIACEAE",-31.49738,19.74346,"HTR",808,"EPO",14,40,30,25,589.0486225,"4","B","2.401956153","42.92717892","17.87175793","2.284963782","-26.97711739",0.1668930798769,2900,2960,2833,2414,328,66,381,898,327,327,875,135,5.05999994277954,4923,3038,2772,266,2842,2960,2412,1748,786,1626,-264,-1053,-1929,1666,NA,16,61288,24937,43038,NA,166,NA,NA,210,NA,85,2414,2863,5313,4924,4624,689,7,7,7,4,10,26,16,365,322,365,4295,19949,12482,5640,14309,31347,21580,11150,20197,0,3705,3391,3065,641,-1264,NA,15415,10300,5720,9695,c(19.74346, -31.49738),16.85,241.4
"640",640,"808_15_HTR","Foveolina dichotoma","ASTERACEAE",-31.49306,19.74421,"HTR",808,"EPO",15,1,5,3,11.78097245,"1","B","2.116282845","35.258385","16.66052583","7.73516162","-31.02187022",0.1668930798769,2900,2960,2833,2414,328,66,381,898,327,327,875,135,5.05999994277954,4923,3038,2772,266,2842,2960,2412,1748,786,1626,-264,-1053,-1929,1666,NA,16,61288,24937,43038,NA,166,NA,NA,210,NA,85,2414,2863,5313,4924,4624,689,7,7,7,4,10,26,16,365,322,365,4295,19949,12482,5640,14309,31347,21580,11150,20197,0,3705,3391,3065,641,-1264,NA,15415,10300,5720,9695,c(19.74421, -31.49306),16.85,241.4
"641",641,"808_16_HTR","Gorteria diffusa","ASTERACEAE",-31.49306,19.74421,"HTR",808,"EPO",16,4,10,8,62.83185307,"1","B","1.323295016","35.72035662","26.99349441","6.482954202","-28.74442838",0.1668930798769,2900,2960,2833,2414,328,66,381,898,327,327,875,135,5.05999994277954,4923,3038,2772,266,2842,2960,2412,1748,786,1626,-264,-1053,-1929,1666,NA,16,61288,24937,43038,NA,166,NA,NA,210,NA,85,2414,2863,5313,4924,4624,689,7,7,7,4,10,26,16,365,322,365,4295,19949,12482,5640,14309,31347,21580,11150,20197,0,3705,3391,3065,641,-1264,NA,15415,10300,5720,9695,c(19.74421, -31.49306),16.85,241.4
"642",642,"808_17_HTR","Senecio cardaminifolius","ASTERACEAE",-31.49306,19.74421,"HTR",808,"EPO",17,15,8,6,37.69911184,"1","B","3.486855244","38.80160322","11.12796503","1.522055914","-28.62546507",0.1668930798769,2900,2960,2833,2414,328,66,381,898,327,327,875,135,5.05999994277954,4923,3038,2772,266,2842,2960,2412,1748,786,1626,-264,-1053,-1929,1666,NA,16,61288,24937,43038,NA,166,NA,NA,210,NA,85,2414,2863,5313,4924,4624,689,7,7,7,4,10,26,16,365,322,365,4295,19949,12482,5640,14309,31347,21580,11150,20197,0,3705,3391,3065,641,-1264,NA,15415,10300,5720,9695,c(19.74421, -31.49306),16.85,241.4
"643",643,"808_18_HTR","Moraea bifida","IRIDACEAE",-31.49306,19.74421,"HTR",808,"EPO",18,20,1,1,0.785398163,"1","B","2.390418392","40.05602739","16.78477347","3.860708046","-28.8885958",0.1668930798769,2900,2960,2833,2414,328,66,381,898,327,327,875,135,5.05999994277954,4923,3038,2772,266,2842,2960,2412,1748,786,1626,-264,-1053,-1929,1666,NA,16,61288,24937,43038,NA,166,NA,NA,210,NA,85,2414,2863,5313,4924,4624,689,7,7,7,4,10,26,16,365,322,365,4295,19949,12482,5640,14309,31347,21580,11150,20197,0,3705,3391,3065,641,-1264,NA,15415,10300,5720,9695,c(19.74421, -31.49306),16.85,241.4
"644",644,"808_19_HTR","Leysera gnaphalodes","ASTERACEAE",-31.44853,19.77332,"HTR",808,"EPO",19,15,10,10,78.53981634,"2","B","2.596403185","42.88495976","16.51706484","2.483679314","-31.48058471",0.16964066028595,2897,2957,2830,2443,327,69,372,899,339,339,875,136,5.07999992370605,4953,3035,2768,267,2838,2945,2380,1753,799,1581,-218,-1037,-1958,1739,NA,16,60102,23949,41852,NA,161,NA,NA,218,NA,87,2443,2859,5315,4898,4586,729,7,7,7,4,10,26,16,365,309,365,4342,20263,12348,5193,15070,31415,21101,10375,21040,0,3880,3537,3200,680,-1245,NA,15257,10160,5590,9667,c(19.77332, -31.44853),16.55,244.3
"645",645,"808_1_HTR","Colchicum crispum","COLCHICACEAE",-31.48831,19.94055,"HTR",808,"EPO",1,1,7,1,5.497787144,"0","N","2.458778943","43.10273108","17.53013674","4.563701684","-27.68081567",0.157897353172302,2887,2950,2818,2239,275,72,325,769,332,340,748,139,5.07999992370605,5113,3028,2755,273,2826,2937,2416,1780,817,1599,-350,-1172,-2130,1780,NA,16,56631,21315,38381,NA,150,NA,NA,234,NA,79,2239,2851,5270,4858,4549,721,5,5,5,4,10,26,16,365,282,365,4005,22004,13521,6063,15941,31477,20723,9772,21705,0,6282,5695,5113,1168,-1406,NA,14760,9665,5206,9554,c(19.94055, -31.48831),15.55,223.9
"646",646,"808_20_HTR","Aristida vestita","POACEAE",-31.44853,19.77332,"HTR",808,"EPO",20,80,50,40,1570.796327,"0","N","0.9586236","43.79327087","45.68348919","0.159636878","-13.69450422",0.16964066028595,2897,2957,2830,2443,327,69,372,899,339,339,875,136,5.07999992370605,4953,3035,2768,267,2838,2945,2380,1753,799,1581,-218,-1037,-1958,1739,NA,16,60102,23949,41852,NA,161,NA,NA,218,NA,87,2443,2859,5315,4898,4586,729,7,7,7,4,10,26,16,365,309,365,4342,20263,12348,5193,15070,31415,21101,10375,21040,0,3880,3537,3200,680,-1245,NA,15257,10160,5590,9667,c(19.77332, -31.44853),16.55,244.3
"647",647,"808_21_HTR","Aptosimum spinescens","SCROPHULARIACEAE",-31.45082,19.77549,"HTR",808,"EPO",21,8,27,27,572.5552611,"4","B","1.657413631","42.44938117","25.61182096","2.018345457","-26.80371323",0.16134911775589,2899,2959,2832,2337,314,66,373,862,324,324,839,136,5.07999992370605,4953,3037,2770,267,2840,2947,2336,1704,777,1559,-247,-1059,-1967,1719,NA,16,60832,24573,42582,NA,163,NA,NA,214,NA,84,2337,2862,5322,4907,4588,734,5,5,5,4,10,26,16,365,315,365,4168,20327,12478,5355,14972,31416,21266,10629,20787,0,3773,3440,3111,662,-1271,NA,15482,10278,5646,9836,c(19.77549, -31.45082),16.7500000000001,233.7
"648",648,"808_22_HTR","Zaluzianskya violacea","SCROPHULARIACEAE",-31.45082,19.77549,"HTR",808,"EPO",22,2,1,1,0.785398163,"1","B","2.803366086","41.90416147","14.9478021","3.942590827","-30.46133119",0.16134911775589,2899,2959,2832,2337,314,66,373,862,324,324,839,136,5.07999992370605,4953,3037,2770,267,2840,2947,2336,1704,777,1559,-247,-1059,-1967,1719,NA,16,60832,24573,42582,NA,163,NA,NA,214,NA,84,2337,2862,5322,4907,4588,734,5,5,5,4,10,26,16,365,315,365,4168,20327,12478,5355,14972,31416,21266,10629,20787,0,3773,3440,3111,662,-1271,NA,15482,10278,5646,9836,c(19.77549, -31.45082),16.7500000000001,233.7
"649",649,"808_2_HTR","Ifloga glomerata","ASTERACEAE",-31.48831,19.94055,"HTR",808,"EPO",2,1,9,7,49.48008429,"1","B","4.162023544","38.47862925","9.245173373","7.44058332","-27.87035044",0.157897353172302,2887,2950,2818,2239,275,72,325,769,332,340,748,139,5.07999992370605,5113,3028,2755,273,2826,2937,2416,1780,817,1599,-350,-1172,-2130,1780,NA,16,56631,21315,38381,NA,150,NA,NA,234,NA,79,2239,2851,5270,4858,4549,721,5,5,5,4,10,26,16,365,282,365,4005,22004,13521,6063,15941,31477,20723,9772,21705,0,6282,5695,5113,1168,-1406,NA,14760,9665,5206,9554,c(19.94055, -31.48831),15.55,223.9
"650",650,"808_3_HTR","Plantago cafra","PLANTAGINACEAE",-31.48831,19.94055,"HTR",808,"EPO",3,1,3,3,7.068583471,"0","L","1.249644755","39.36138056","31.49805607","4.270121954","-29.7525921",0.157897353172302,2887,2950,2818,2239,275,72,325,769,332,340,748,139,5.07999992370605,5113,3028,2755,273,2826,2937,2416,1780,817,1599,-350,-1172,-2130,1780,NA,16,56631,21315,38381,NA,150,NA,NA,234,NA,79,2239,2851,5270,4858,4549,721,5,5,5,4,10,26,16,365,282,365,4005,22004,13521,6063,15941,31477,20723,9772,21705,0,6282,5695,5113,1168,-1406,NA,14760,9665,5206,9554,c(19.94055, -31.48831),15.55,223.9
"651",651,"808_4_HTR","Leysera tenella","ASTERACEAE",-31.48831,19.94055,"HTR",808,"EPO",4,5,22,12,207.3451151,"1","B","2.815917023","42.82003468","15.2064263","6.611769798","-30.69320885",0.157897353172302,2887,2950,2818,2239,275,72,325,769,332,340,748,139,5.07999992370605,5113,3028,2755,273,2826,2937,2416,1780,817,1599,-350,-1172,-2130,1780,NA,16,56631,21315,38381,NA,150,NA,NA,234,NA,79,2239,2851,5270,4858,4549,721,5,5,5,4,10,26,16,365,282,365,4005,22004,13521,6063,15941,31477,20723,9772,21705,0,6282,5695,5113,1168,-1406,NA,14760,9665,5206,9554,c(19.94055, -31.48831),15.55,223.9
"652",652,"808_5_HTR","Ifloga glomerata","ASTERACEAE",-31.48831,19.94055,"HTR",808,"EPO",5,1,4,4,12.56637061,"1","B","2.132094283","27.91383773","13.09221546","7.524463243","-29.90885748",0.157897353172302,2887,2950,2818,2239,275,72,325,769,332,340,748,139,5.07999992370605,5113,3028,2755,273,2826,2937,2416,1780,817,1599,-350,-1172,-2130,1780,NA,16,56631,21315,38381,NA,150,NA,NA,234,NA,79,2239,2851,5270,4858,4549,721,5,5,5,4,10,26,16,365,282,365,4005,22004,13521,6063,15941,31477,20723,9772,21705,0,6282,5695,5113,1168,-1406,NA,14760,9665,5206,9554,c(19.94055, -31.48831),15.55,223.9
"653",653,"808_6_HTR","Felicia macrorrhiza","ASTERACEAE",-31.46602,19.95173,"HTR",808,"EPO",6,20,22,15,259.1813939,"4","B","2.924674049","40.51769258","13.8537464","3.582106874","-29.38057969",0.163062557578087,2893,2956,2823,2361,277,79,311,783,361,374,759,140,5.07000017166138,5176,3034,2759,275,2831,2944,2314,1710,799,1515,-216,-992,-1873,1657,NA,16,58882,23164,40632,NA,154,NA,NA,227,NA,80,2361,2858,5433,4895,4501,932,7,7,7,4,10,26,16,365,293,365,4207,19504,11825,4777,14728,31490,21415,10828,20662,0,3564,3228,2891,673,-1191,NA,15511,10026,5211,10300,c(19.95173, -31.46602),16.15,236.1
"654",654,"808_7_HTR","NA","NA",-31.46602,19.95173,"HTR",808,"EPO",7,7,14,7,76.96902001,"4","L","1.611266098","32.70639961","20.2985712","3.721906745","-26.22704359",0.163062557578087,2893,2956,2823,2361,277,79,311,783,361,374,759,140,5.07000017166138,5176,3034,2759,275,2831,2944,2314,1710,799,1515,-216,-992,-1873,1657,NA,16,58882,23164,40632,NA,154,NA,NA,227,NA,80,2361,2858,5433,4895,4501,932,7,7,7,4,10,26,16,365,293,365,4207,19504,11825,4777,14728,31490,21415,10828,20662,0,3564,3228,2891,673,-1191,NA,15511,10026,5211,10300,c(19.95173, -31.46602),16.15,236.1
"655",655,"808_8_HTR","NA","NA",-31.46602,19.95173,"HTR",808,"EPO",8,13,9,8,56.54866776,"2","N","2.338504081","35.60988016","15.22763225","6.318190068","-31.1640213",0.163062557578087,2893,2956,2823,2361,277,79,311,783,361,374,759,140,5.07000017166138,5176,3034,2759,275,2831,2944,2314,1710,799,1515,-216,-992,-1873,1657,NA,16,58882,23164,40632,NA,154,NA,NA,227,NA,80,2361,2858,5433,4895,4501,932,7,7,7,4,10,26,16,365,293,365,4207,19504,11825,4777,14728,31490,21415,10828,20662,0,3564,3228,2891,673,-1191,NA,15511,10026,5211,10300,c(19.95173, -31.46602),16.15,236.1
"656",656,"808_9_HTR","Otholobium candicans","FABACEAE",-31.47886,19.95338,"HTR",808,"EPO",9,220,150,150,17671.45868,"4","B","2.493577874","47.75553787","19.15141226","-2.048832227","-26.51033759",0.159707471728325,2894,2957,2824,2318,277,76,316,780,350,361,757,139,5.09000015258789,5176,3035,2761,274,2832,2945,2331,1725,796,1535,-233,-1016,-1906,1672,NA,16,59247,23459,40997,NA,155,NA,NA,225,NA,78,2318,2859,5423,4904,4510,913,5,5,5,4,10,26,16,365,296,365,4136,19806,12030,4934,14872,31496,21363,10741,20755,0,3749,3396,3044,705,-1219,NA,15590,10072,5259,10331,c(19.95338, -31.47886),16.2500000000001,231.8
"657",657,"818_38_HTR","Willdenowia incurvata","RESTIONACEAE",-31.27577,19.04081,"HTR",818,"EPO",38,110,140,110,12095.13172,"1","N","0.384325321","46.22858056","120.3212443","3.335593003","-26.65600207",0.352607101202011,2897,2948,2840,5182,927,97,619,2446,449,449,2369,143,5.46999979019165,4206,3040,2778,262,2849,2948,2647,1941,1060,1587,193,-868,-1911,2104,NA,16,60326,23826,42076,NA,NA,NA,NA,NA,NA,204,5182,2867,5270,5128,5007,263,12,13,13,7,8,27,16,365,365,365,8468,20063,12882,6412,13651,30816,21175,10958,19858,0,4350,3954,3557,793,-1046,NA,13249,9495,6249,7000,c(19.04081, -31.27577),16.55,518.2
