"","field_1","NewUID","finalname","family_GM","latitude","longitude","region","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C","Chili","Elevation","TopoDiv","geometry"
"22",22,"726_29_BK","Hertia kraussii","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",29,105,65,45,2297.289628,"4","N","0.664467887","42.24897819","63.58317539","0.12132724","-27.76080815",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"23",23,"726_3_BK","Crassula cultrata","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",3,45,70,44,2419.026343,"2","N","1.35186104","42.34134348","31.32078094","4.740317052","-21.37160066",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"24",24,"726_30_BK","Pelargonium myrrhifolium","GERANIACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",30,65,70,65,3573.561643,"2","B","0.997077131","45.07376351","45.20589442","-0.404689136","-26.02458927",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"25",25,"726_31_BK","Hibiscus aethiopicus","MALVACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",31,12,20,15,235.619449,"1","B","1.123177884","38.91973224","34.65144104","0.200376083","-28.35936985",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"26",26,"726_32_BK","Gnidia juniperifolia","THYMELAEACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",32,13,28,11,241.9026343,"3","N","0.630093368","45.86860077","72.79651412","-1.093682757","-27.20806469",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"27",27,"726_33_BK","Protea intonsa","PROTEACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",33,22,52,42,1715.309589,"1","L","0.601830233","48.75394899","81.00947134","2.780686471","-24.18211106",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"28",28,"726_34_BK","Gibbaria scabra","ASTERACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",34,23,50,58,2277.654674,"4","B","0.702894092","44.41601047","63.19018895","-1.464529182","-28.31647618",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"29",29,"726_35_BK","Protea repens","PROTEACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",35,100,75,55,3239.767424,"3",NA,"0.536445509","49.99188803","93.19099002","4.114757688","-25.57420571",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"30",30,"726_36_BK","Pellaea calomelanos","PTERIDACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",36,15,10,7,54.97787144,"0","N","0.912119563","46.6344187","51.12752823","-1.772917262","-29.33812547",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"31",31,"726_37_BK","Leucospermum wittebergense","PROTEACEAE",-33.53756,24.08003,"Baviaanksloof",726,"ASH",37,43,44,42,1451.415806,"2","B","0.456715532","46.83707284","102.5519597","1.540302771","-28.22678941",5580,1008.98772712305,25.8448810577393,c(24.08003, -33.53756)
"32",32,"726_38_BK","Aspalathus subtingens","FABACEAE",-33.55082,24.07446,"Baviaanksloof",726,"ASH",38,100,180,180,25446.90049,"4","S","1.137773712","47.15982822","41.44921588","-0.660377987","-24.82064187",5790,768.382961424474,23.9090423583984,c(24.07446, -33.55082)
"33",33,"726_39_BK","Eragrostis capensis","POACEAE",-33.55082,24.07446,"Baviaanksloof",726,"ASH",39,30,35,25,687.223393,"0","N","0.864135726","43.39710772","50.22024484","1.109925736","-13.13796525",5790,768.382961424474,23.9090423583984,c(24.07446, -33.55082)
"34",34,"726_4_BK","Passerina obtusifolia","THYMELAEACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",4,250,180,160,22619.46711,"4","B","0.618993378","49.9279937","80.65998031","2.755312768","-27.03356543",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"35",35,"726_40_BK","Polygala illepida","POLYGALACEAE",-33.55082,24.07446,"Baviaanksloof",726,"ASH",40,60,44,35,1209.513172,"4","N","0.682939375","48.75773376","71.39394147","2.531829001","-26.14547144",5790,768.382961424474,23.9090423583984,c(24.07446, -33.55082)
"36",36,"726_41_BK","Pentaschistis eriostoma","POACEAE",-33.55082,24.07446,"Baviaanksloof",726,"ASH",41,65,75,60,3534.291735,"1","S","0.750428507","43.58103262","58.07486283","1.78916024","-24.14994081",5790,768.382961424474,23.9090423583984,c(24.07446, -33.55082)
"37",37,"726_5_BK","Othonna carnosa","ASTERACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",5,100,120,115,10838.49465,"2","N","0.822826832","40.25425269","48.92190086","4.992102256","-29.92206433",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"38",38,"726_6_BK","Commelina africana","COMMELINACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",6,22,54,30,1272.345025,"0","N","1.994334535","40.40863536","20.2617137","7.513857945","-28.5319194",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"39",39,"726_7_BK","Crassula ericoides","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",7,22,20,14,219.9114858,"4","N","0.473029397","47.76671589","100.9804384","2.751409121","-26.78302739",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"40",40,"726_8_BK","Ehrharta calycina","POACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",8,75,85,70,4673.119072,"1","N","1.222246527","42.3138026","34.61969552","7.390893078","-27.22756181",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"41",41,"726_9_BK","Crassula pubescens","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",9,20,17,19,253.6836068,"1","B","0.547574494","45.86365252","83.75783216","4.461206322","-18.7336398",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"42",42,"729_10_HTR","Asparagus capensis","ASPARAGACEAE",-31.42739,19.7757,"HTR",729,"BHR",10,20,45,30,1060.287521,"2","L","2.781534453","49.85055057","17.92196049","-0.102387845","-27.98969826",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"43",43,"729_11_HTR","Ehrharta calycina","POACEAE",-31.42739,19.7757,"HTR",729,"BHR",11,40,45,20,706.8583471,"0","N","1.954845884","40.34748801","20.63972835","1.791556554","-25.98721622",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"44",44,"729_12_HTR","Felicia hirsuta","ASTERACEAE",-31.42739,19.7757,"HTR",729,"BHR",12,25,20,10,157.0796327,"2","L","2.8201051","44.27246609","15.69887097","0.360815723","-29.87526893",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"45",45,"729_13_HTR","Selago albida","SCROPHULARIACEAE",-31.42739,19.7757,"HTR",729,"BHR",13,70,90,60,4241.150082,"4","N","1.260681212","44.91771098","35.62971396","1.621160315","-27.10636786",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"46",46,"729_14_HTR","Galenia africana","AIZOACEAE",-31.42854,19.77599,"HTR",729,"BHR",14,60,150,110,12959.0697,"3","N?","2.317535527","42.06563831","18.15102199","5.080008099","-25.37867751",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
"47",47,"729_15_HTR","Pteronia incana","ASTERACEAE",-31.42854,19.77599,"HTR",729,"BHR",15,80,130,110,11231.19374,"4","N","1.788489045","46.08331972","25.76662119","1.530086463","-26.65970645",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
"48",48,"729_16_HTR","Thesium lineatum","SANTALACEAE",-31.42854,19.77599,"HTR",729,"BHR",16,110,120,100,9424.777961,"4","N","1.065684889","45.6773693","42.8619846","1.658838703","-26.31278061",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
"49",49,"729_17_HTR","Felicia filifolia","ASTERACEAE",-31.42854,19.77599,"HTR",729,"BHR",17,75,100,80,6283.185307,"4","N","1.383480821","45.41046888","32.82334543","-0.331069547","-28.26792931",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
"50",50,"729_18_HTR","Pentzia incana","ASTERACEAE",-31.42854,19.77599,"HTR",729,"BHR",18,50,120,10,942.4777961,"4","B","3.147575022","44.61424529","14.17416423","2.319853075","-28.00465772",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
"51",51,"729_19_HTR","Rhus undulata","ANACARDIACEAE",-31.42854,19.77599,"HTR",729,"BHR",19,220,310,290,70607.29489,"4","N","1.8178954","47.96026001","26.38229901","0.732045556","-25.07091424",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
