"","field_1","NewUID","finalname","family_GM","latitude","longitude","region","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C","Chili","Elevation","TopoDiv","geometry"
"345",345,"702_41_BK","Gazania krebsiana","ASTERACEAE",-33.65554,24.13147,"Baviaanksloof",702,"DEB",41,8,22,18,311.0176727,"0","L","1.508803285","33.43708321","22.16132716","3.789764402","-27.8122792",6210,898.387149342251,15.182445526123,c(24.13147, -33.65554)
"346",346,"702_42_BK","Hermannia flammea","MALVACEAE",-33.65554,24.13147,"Baviaanksloof",702,"DEB",42,7,20,20,314.1592654,"3","S","1.855734179","43.31938955","23.34353165","3.429472055","-28.46731476",6210,898.387149342251,15.182445526123,c(24.13147, -33.65554)
"347",347,"702_43_BK","Sutera denudata","SCROPHULARIACEAE",-33.65554,24.13147,"Baviaanksloof",702,"DEB",43,52,50,40,1570.796327,"4","B","1.444473629","47.58783545","32.9447589","1.003174549","-28.78804962",6210,898.387149342251,15.182445526123,c(24.13147, -33.65554)
"348",348,"702_44_BK","NA","NA",-33.65554,24.13147,"Baviaanksloof",702,"DEB",44,145,150,150,17671.45868,"4","N","1.038570868","46.48457543","44.75821235","-0.698589854","-25.24930725",6210,898.387149342251,15.182445526123,c(24.13147, -33.65554)
"349",349,"702_45_BK","Dodonaea angustifolia","SAPINDACEAE",-33.65554,24.13147,"Baviaanksloof",702,"DEB",45,220,210,200,32986.72286,"4","N","1.83449861","49.77938155","27.1351427","0.388209802","-25.578763",6210,898.387149342251,15.182445526123,c(24.13147, -33.65554)
"350",350,"702_5_BK","Pelargonium reniforme","GERANIACEAE",-33.66459,24.1328,"Baviaanksloof",702,"DEB",5,10,18,10,141.3716694,"1","L","2.37055268","45.40883709","19.15537987","4.203565648","-27.96747766",6540,1024.51061523263,17.576602935791,c(24.1328, -33.66459)
"351",351,"702_6_BK","Themeda triandra","POACEAE",-33.66459,24.1328,"Baviaanksloof",702,"DEB",6,25,20,15,235.619449,"0","L","1.19139871","42.87653697","35.98840304","0.966466724","-12.658336",6540,1024.51061523263,17.576602935791,c(24.1328, -33.66459)
"352",352,"702_7_BK","Chrysocoma ciliata","ASTERACEAE",-33.66459,24.1328,"Baviaanksloof",702,"DEB",7,25,60,40,1884.955592,"4","N","3.019638886","46.65795336","15.45150103","5.112139389","-28.77855801",6540,1024.51061523263,17.576602935791,c(24.1328, -33.66459)
"353",353,"702_8_BK","Felicia muricata","ASTERACEAE",-33.66459,24.1328,"Baviaanksloof",702,"DEB",8,15,40,42,1319.468915,"3","S","1.980815625","45.28921857","22.86392433","1.720846425","-28.79708028",6540,1024.51061523263,17.576602935791,c(24.1328, -33.66459)
"354",354,"702_9_BK","Oedera squarrosa","ASTERACEAE",-33.66459,24.1328,"Baviaanksloof",702,"DEB",9,65,70,65,3573.561643,"2","N","1.278438569","46.96581788","36.73685933","3.044182614","-25.76430266",6540,1024.51061523263,17.576602935791,c(24.1328, -33.66459)
"355",355,"713_1_BK","Monsonia emarginata","GERANIACEAE",-33.66997,24.20945,"Baviaanksloof",713,"DEB",1,12,7,8,43.98229715,"1","B","1.778314341","47.03032387","26.44657516","-1.338232158","-28.90723509",6090,928.462745054573,20.8108463287354,c(24.20945, -33.66997)
"356",356,"713_2_BK","Cotyledon orbiculata","CRASSULACEAE",-33.66997,24.20945,"Baviaanksloof",713,"DEB",2,23,31,25,608.6835766,"0","N","0.856193236","36.03920942","43.57333834","1.353924907","-13.92927221",6090,928.462745054573,20.8108463287354,c(24.20945, -33.66997)
"357",357,"713_3_BK","Euryops spathaceus","ASTERACEAE",-33.66997,24.20945,"Baviaanksloof",713,"DEB",3,123,95,130,9699.667318,"4","N","2.090172681","46.04791338","22.03067421","1.43749957","-27.46441269",6090,928.462745054573,20.8108463287354,c(24.20945, -33.66997)
"358",358,"713_4_BK","Pelargonium sidoides","GERANIACEAE",-33.65076,24.21976,"Baviaanksloof",713,"DEB",4,14,25,30,589.0486225,"0","B","3.071446748","46.85588616","15.25531451","5.206256234","-29.30258199",6960,843.086860451853,18.9223461151123,c(24.21976, -33.65076)
"359",359,"714_1_BK","Smelophyllum capense","SAPINDACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",1,390,620,540,262951.3051,"4","N","0.978536735","49.47054413","50.55563309","4.850899398","-25.64174719",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"360",360,"714_10_BK","Diospyros dichrophylla","EBENACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",10,185,280,320,70371.67544,"4","N","1.358492758","47.77564623","35.1681273","3.1935546","-28.73378632",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"361",361,"714_11_BK","Pelargonium odoratissimum","GERANIACEAE",-33.57827,24.16154,"Baviaanksloof",714,"DEB",11,31,62,38,1850.398073,"1","B","2.09577835","43.16360123","20.59549915","5.069049011","-30.53028916",3510,493.821877986183,22.4573917388916,c(24.16154, -33.57827)
"362",362,"714_2_BK","Crassula lactea","CRASSULACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",2,15,21,42,692.7211801,"1","N","0.831610811","41.59739746","50.02027019","7.474617369","-17.0167894",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"363",363,"714_3_BK","Cymbopogon marginatus","POACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",3,78,100,85,6675.884389,"0","N","1.465328086","45.21733395","30.85816369","8.396570937","-13.56331792",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"364",364,"714_4_BK","Cineraria saxifraga","ASTERACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",4,35,71,62,3457.322715,"4","N","3.729836119","40.47625282","10.85201911","13.75949785","-30.03998148",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"365",365,"714_5_BK","Senecio ficoides","ASTERACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",5,78,92,100,7225.663103,"3","N","0.941852607","44.18498243","46.91284188","7.848729149","-23.56811393",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"366",366,"714_6_BK","Diospyros scabrida","EBENACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",6,136,148,95,11042.69818,"4","L","0.964366453","47.5717838","49.32957138","0.813650903","-28.64367049",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"367",367,"714_7_BK","Grewia occidentalis","MALVACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",7,415,450,340,120165.919,"4","N","1.955500133","44.13484199","22.56959293","7.485475494","-29.37234909",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"368",368,"714_8_BK","Crassula pellucida","CRASSULACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",8,13,35,43,1182.024236,"2","N","1.448232671","37.64691147","25.99507125","2.905320722","-25.83263773",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"369",369,"714_9_BK","Aloe comptonii","ASPHODELACEAE",-33.57829,24.16078,"Baviaanksloof",714,"DEB",9,60,93,65,4747.731898,"1","N","0.633166608","42.24010352","66.71246243","6.895188306","-15.09819413",3930,505.464044068372,22.4573917388916,c(24.16078, -33.57829)
"370",370,"715_1_BK","NA","NA",-33.6431,24.13628,"Baviaanksloof",715,"DEB",1,15,62,27,1314.756526,"1","B","1.806727602","44.52155895","24.64209818","1.439473775","-28.26092042",5940,900.327510355949,17.1472415924072,c(24.13628, -33.6431)
"371",371,"715_10_BK","Erica thamnoides","ERICACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",10,130,40,35,1099.557429,"4","B","1.124947032","54.431498","48.38583193","-1.279006019","-26.75317586",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"372",372,"715_11_BK","Senecio hollandii","ASTERACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",11,120,96,114,8595.3975,"4","B","1.038822221","48.67257706","46.85361564","-0.892061909","-31.25896776",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"373",373,"715_12_BK","Erica chamissonis","ERICACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",12,70,48,55,2073.451151,"4","B","0.617250238","52.21592071","84.59441161","-2.78038865","-28.33553246",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"374",374,"715_13_BK","Amphithalea williamsonii","FABACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",13,120,75,60,3534.291735,"4","B","1.595246026","49.05468441","30.75054482","-1.034204643","-27.68340387",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"375",375,"715_14_BK","Pelargonium zonale","GERANIACEAE",-33.69295,24.13646,"Baviaanksloof",715,"DEB",14,115,165,130,16846.7906,"4","B","1.713160863","44.65143472","26.06377235","2.252846088","-27.07294174",6540,1016.74917117784,21.7132034301758,c(24.13646, -33.69295)
"376",376,"715_15_BK","Relhania decussata","ASTERACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",15,40,20,25,392.6990817,"3","N","0.800368912","51.93134359","64.88425873","-4.616398968","-27.96925518",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"377",377,"715_16_BK","Tetraria involucrata","CYPERACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",16,80,70,50,2748.893572,"0","N","0.777762147","45.36489711","58.32746848","3.356426483","-25.1989199",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"378",378,"715_17_BK","Centella virgata","APIACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",17,15,38,34,1014.734427,"1","B","0.626540271","45.59186025","72.76764539","-1.471490972","-26.47507645",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"379",379,"715_18_BK","Phylica debilis","RHAMNACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",18,33,45,35,1237.002107,"4","B","0.675513921","54.33107287","80.42924231","-4.354816853","-30.2018024",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"380",380,"715_19_BK","Leucadendron salignum","PROTEACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",19,110,74,70,4068.362486,"4","N","0.498903688","51.15619967","102.5372248","0.939012898","-29.41595353",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"381",381,"715_2_BK","Protea neriifolia","PROTEACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",2,300,310,250,60868.35766,"4","N","0.757278102","52.95476262","69.92776166","4.477774721","-27.97313113",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"382",382,"715_20_BK","Hypodiscus striatus","RESTIONACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",20,60,90,80,5654.866776,"0","N","0.415342058","46.43255861","111.793539","-0.547563199","-27.85491466",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"383",383,"715_21_BK","Agathosma ovata","RUTACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",21,47,50,40,1570.796327,"3","B","0.994770427","48.35047214","48.60465373","-0.281045572","-26.79581131",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"384",384,"715_22_BK","Tetraria capillacea","CYPERACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",22,30,20,18,282.7433388,"0","N","0.639555033","44.72342239","69.9289664","3.221193465","-27.46538168",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"385",385,"715_23_BK","Erica newdigateae","ERICACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",23,60,65,61,3114.103718,"4","B","0.853340823","53.07585165","62.19771776","-3.522689596","-27.14949175",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"386",386,"715_24_BK","Protea eximia","PROTEACEAE",-33.69298,24.14518,"Baviaanksloof",715,"DEB",24,250,115,160,14451.32621,"4","N","0.682855039","52.03249709","76.1984523","1.169994841","-28.06518494",4380,1082.72144564358,23.1431770324707,c(24.14518, -33.69298)
"387",387,"715_3_BK","Berzelia lanuginosa","BRUNIACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",3,230,140,150,16493.36143,"4","N","1.013637906","53.2302638","52.5140817","0.119717971","-28.24638561",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"388",388,"715_4_BK","Cliffortia ilicifolia","ROSACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",4,185,330,230,59611.7206,"4","N","1.384059943","46.77216665","33.79345446","0.170060189","-29.32389971",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"389",389,"715_5_BK","Agathosma venusta","RUTACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",5,140,120,115,10838.49465,"4","N","1.572452425","49.8059476","31.6740569","-1.605736887","-27.29483988",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"390",390,"715_6_BK","Selago corymbosa","SCROPHULARIACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",6,40,47,60,2214.822821,"3","B","2.190077016","49.82125789","22.74863282","4.001004299","-30.26284861",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"391",391,"715_7_BK","Erica hispidula","ERICACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",7,130,60,45,2120.575041,"4","B","1.132071043","54.79492728","48.40237511","-1.38561307","-27.90627099",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"392",392,"715_8_BK","Phylica paniculata","RHAMNACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",8,220,270,190,40290.92578,"4","B","1.114559688","52.55703167","47.1549727","-3.298617369","-29.14366804",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"393",393,"715_9_BK","Coleonema aspalathoides","RUTACEAE",-33.69301,24.12387,"Baviaanksloof",715,"DEB",9,135,47,35,1291.979979,"4","B","1.08822836","46.82519219","43.02882914","-1.756763543","-28.17468053",7110,1049.73530841071,19.5553531646729,c(24.12387, -33.69301)
"394",394,"716_1_BK","Agathosma puberula","RUTACEAE",-33.64982,24.34838,"Baviaanksloof",716,"DEB",1,200,270,195,41351.2133,"4","B","1.254405107","50.78165379","40.48265869","7.408481513","-25.38012056",5790,395.833646794426,25.0549278259277,c(24.34838, -33.64982)
"395",395,"716_2_BK","Passerina obtusifolia","THYMELAEACEAE",-33.64982,24.34838,"Baviaanksloof",716,"DEB",2,310,290,230,52386.0575,"4","B","1.121029481","53.84701297","48.03353871","6.146964746","-26.67371888",5790,395.833646794426,25.0549278259277,c(24.34838, -33.64982)
"396",396,"716_3_BK","Pterocelastrus tricuspidatus","CELASTRACEAE",-33.64982,24.34838,"Baviaanksloof",716,"DEB",3,350,210,200,32986.72286,"4","N","1.065086788","46.79797322","43.93817833","4.711717971","-27.08456959",5790,395.833646794426,25.0549278259277,c(24.34838, -33.64982)
"397",397,"716_4_BK","Smelophyllum capense","SAPINDACEAE",-33.64982,24.34838,"Baviaanksloof",716,"DEB",4,340,490,370,142392.687,"4","N","1.18775053","50.22205177","42.28333351","8.976","-26.12333398",5790,395.833646794426,25.0549278259277,c(24.34838, -33.64982)
"398",398,"716_5_BK","Loxostylis alata","ANACARDIACEAE",-33.64982,24.34838,"Baviaanksloof",716,"DEB",5,300,450,345,121933.0649,"4","N","1.090137348","50.22304483","46.07038271","6.914930353","-25.0128743",5790,395.833646794426,25.0549278259277,c(24.34838, -33.64982)
"399",399,"716_6_BK","Crassula rogersii","CRASSULACEAE",-33.64982,24.34838,"Baviaanksloof",716,"DEB",6,40,60,45,2120.575041,"3","L","1.501155379","44.79098652","29.83767513","6.448030954","-17.9315136",5790,395.833646794426,25.0549278259277,c(24.34838, -33.64982)
"400",400,"716_7_BK","Boscia oleoides","CAPPARACEAE",-33.6403,24.32462,"Baviaanksloof",716,"DEB",7,460,420,400,131946.8915,"4","N","1.874518784","45.43942529","24.24058147","17.38413758","-27.17953036",6150,252.246931780762,22.3919410705566,c(24.32462, -33.6403)
"401",401,"717_1_BK","Acacia karroo","FABACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",1,85,140,140,15393.804,"3","N","2.474452084","45.81376628","18.51471143","1.260808255","-30.4421113",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"402",402,"717_10_BK","Penaea cneorum","PENAEACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",10,25,55,40,1727.875959,"2","N","0.777584017","46.2691337","59.50370978","-2.536574377","-27.91886783",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"403",403,"717_11_BK","Cannomois scirpoides","RESTIONACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",11,80,65,40,2042.035225,"0","N","0.337258812","46.94456245","139.1944724","0.769231298","-27.05937591",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"404",404,"717_12_BK","Thesium carinatum","SANTALACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",12,80,40,40,1256.637061,"4","N","0.871708855","43.56108861","49.97206158","-0.314607051","-28.4644078",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"405",405,"717_13_BK","Muraltia squarrosa","POLYGALACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",13,40,50,50,1963.495408,"3","B","0.644236644","50.86522439","78.95425515","-1.103301806","-28.9372737",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"406",406,"717_14_BK","Euclea polyandra","EBENACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",14,65,45,30,1060.287521,"3","B","0.885884466","50.89572663","57.45187839","-2.683652623","-27.82584503",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"407",407,"717_15_BK","Agathosma ovata","RUTACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",15,85,180,120,16964.60033,"4","B","1.142501883","48.71316748","42.63727545","-0.074741187","-25.81616494",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"408",408,"717_16_BK","Athanasia linifolia","ASTERACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",16,125,25,20,392.6990817,"2","S","1.274663191","47.04697828","36.90934092","-0.653183147","-27.70569058",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"409",409,"717_17_BK","Leucadendron rubrum","PROTEACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",17,55,40,30,942.4777961,"3","B","0.639365863","51.14996162","80.00108319","1.827404987","-29.86750171",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"410",410,"717_18_BK","Protea repens","PROTEACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",18,85,80,50,3141.592654,"3","N","0.746406854","51.84623676","69.46109411","3.837145314","-26.73864105",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"411",411,"717_19_BK","Protea tenax","PROTEACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",19,15,80,60,3769.911184,"1","N","0.4612303","48.44898029","105.042926","1.65861049","-26.06810169",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"412",412,"717_2_BK","Schotia latifolia","FABACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",2,70,90,60,4241.150082,"4","N","1.447258228","49.43571332","34.15818433","3.055360275","-28.31809068",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"413",413,"717_20_BK","Hypodiscus aristatus","RESTIONACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",20,75,60,50,2356.19449,"0","N","0.355202058","46.26054853","130.2372761","-0.326452279","-25.8500795",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"414",414,"717_21_BK","Willdenowia teres","RESTIONACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",21,50,50,50,1963.495408,"3","N","0.555698531","47.3542644","85.2157451","0.164137575","-24.30648241",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"415",415,"717_22_BK","Leucadendron salignum","PROTEACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",22,80,120,90,8482.300165,"4","N","0.611064363","50.90112656","83.29912464","2.299239897","-28.27739321",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"416",416,"717_23_BK","Mastersiella purpurea","RESTIONACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",23,50,35,45,1237.002107,"2","N","0.433554908","46.03330446","106.1764117","-0.081650903","-27.44600193",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"417",417,"717_24_BK","Syncarpha milleflora","ASTERACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",24,15,10,8,62.83185307,"0","B","0.791469333","38.92900263","49.18573723","0.175735825","-29.55821635",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"418",418,"717_25_BK","Erica strigilifolia","ERICACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",25,65,75,65,3828.816047,"4","B","0.671404242","58.62370026","87.31505788","-0.814750229","-25.19218729",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"419",419,"717_26_BK","Brunia nodiflora","BRUNIACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",26,85,110,105,9071.348787,"4","N","0.684612458","55.36138824","80.86529486","-2.427376078","-25.98820898",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"420",420,"717_27_BK","Ruschia virgata","AIZOACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",27,40,60,35,1649.336143,"3","N","0.813024739","34.14482683","41.99727906","1.803174527","-24.32749301",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"421",421,"717_28_BK","Tetraria compar","CYPERACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",28,55,40,35,1099.557429,"0","N","0.311281523","44.25475185","142.1695427","1.666896286","-25.35951627",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"422",422,"717_29_BK","Tetraria cuspidata","CYPERACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",29,50,45,40,1413.716694,"0","N","0.610078788","44.05193531","72.20696103","1.937477721","-25.90115922",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"423",423,"717_3_BK","Protea neriifolia","PROTEACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",3,85,30,35,824.6680716,"1","S","0.980654175","50.7370419","51.73795535","6.213100602","-27.88592226",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"424",424,"717_30_BK","Rhus rosmarinifolia","ANACARDIACEAE",-33.69542,24.20174,"Baviaanksloof",717,"DEB",30,18,30,20,471.238898,"3","N","1.236868544","49.01837141","39.63102762","-0.833513175","-26.89159204",6600,990.554297492914,22.6962032318115,c(24.20174, -33.69542)
"425",425,"717_31_BK","Indigofera flabellata","FABACEAE",-33.69482,24.20221,"Baviaanksloof",717,"DEB",31,45,30,20,471.238898,"2","B","1.52196052","45.66311465","30.00282467","-0.12348379","-28.68481709",6390,985.703394958669,22.6962032318115,c(24.20221, -33.69482)
"426",426,"717_32_BK","Protea repens","PROTEACEAE",-33.69482,24.20221,"Baviaanksloof",717,"DEB",32,170,180,170,24033.1838,"4","N","0.699363776","52.60727221","75.22161429","3.741683125","-23.91062138",6390,985.703394958669,22.6962032318115,c(24.20221, -33.69482)
"427",427,"717_33_BK","Paranomus esterhuyseniae","PROTEACEAE",-33.69481,24.20134,"Baviaanksloof",717,"DEB",33,35,25,15,294.5243113,"1","S","0.65290124","49.85386462","76.35743595","2.936851486","-29.50211761",6840,986.673575465518,22.6962032318115,c(24.20134, -33.69481)
"428",428,"717_34_BK","Centella virgata","APIACEAE",-33.69481,24.20134,"Baviaanksloof",717,"DEB",34,30,25,15,294.5243113,"2","N","0.486674717","45.17601665","92.82589599","-2.961626283","-27.71663032",6840,986.673575465518,22.6962032318115,c(24.20134, -33.69481)
"429",429,"717_35_BK","Leucospermum wittebergense","PROTEACEAE",-33.6897,24.2014,"Baviaanksloof",717,"DEB",35,145,220,160,27646.01535,"4","B","0.635144227","49.36128209","77.71665078","2.581343032","-28.53296362",5130,939.134730629913,20.8985023498535,c(24.2014, -33.6897)
"430",430,"717_36_BK","Erica thamnoides","ERICACEAE",-33.6897,24.2014,"Baviaanksloof",717,"DEB",36,50,80,60,3769.911184,"4","B","0.856676977","54.06832605","63.1140179","-1.693646129","-25.62840331",5130,939.134730629913,20.8985023498535,c(24.2014, -33.6897)
"431",431,"717_37_BK","Tetraria ustulata","CYPERACEAE",-33.68825,24.20169,"Baviaanksloof",717,"DEB",37,35,80,50,3141.592654,"0","N","0.810901221","46.22851117","57.00880697","1.421002938","-24.57026512",5730,945.925994177856,20.0328159332275,c(24.20169, -33.68825)
"432",432,"717_38_BK","Pelargonium reniforme","GERANIACEAE",-33.68059,24.20755,"Baviaanksloof",717,"DEB",38,10,10,8,62.83185307,"2","L","2.3154798","46.64567482","20.14514435","0.204374006","-27.29782425",6630,990.554297492914,18.7392959594727,c(24.20755, -33.68059)
"433",433,"717_39_BK","Themeda triandra","POACEAE",-33.68059,24.20755,"Baviaanksloof",717,"DEB",39,20,25,20,392.6990817,"0","B","0.951355535","44.38270048","46.65206525","0.054270437","-13.5874871",6630,990.554297492914,18.7392959594727,c(24.20755, -33.68059)
"434",434,"717_4_BK","Protea lorifolia","PROTEACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",4,50,25,20,392.6990817,"1","B","0.667244354","51.0797985","76.55336193","5.513245056","-30.83552022",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"435",435,"717_5_BK","Helichrysum odoratissimum","ASTERACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",5,25,30,25,589.0486225,"4","B","1.551488742","43.88042807","28.28278857","0.474087704","-30.35199546",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"436",436,"717_6_BK","Anthospermum aethiopicum","RUBIACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",6,115,40,25,785.3981634,"3","S","2.622381153","48.54686815","18.51251413","1.45428031","-28.48572552",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"437",437,"717_7_BK","Cliffortia stricta","ROSACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",7,30,35,40,1099.557429,"2","B","0.796798113","53.69205164","67.38476258","0.934077386","-26.60395178",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"438",438,"717_8_BK","Peucedanum tenuifolium","APIACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",8,20,24,20,376.9911184,"1","N","0.932039725","43.88772219","47.08782363","1.458228719","-26.53224671",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"439",439,"717_9_BK","Selago glomerata","SCROPHULARIACEAE",-33.70229,24.19984,"Baviaanksloof",717,"DEB",9,80,40,40,1256.637061,"3","B","1.134556645","48.29183095","42.56449528","3.640711952","-28.79483254",6270,1034.21242030112,20.3390274047852,c(24.19984, -33.70229)
"440",440,"729_1_CB","Cannomois taylorii","RESTIONACEAE",-32.13677,18.97217,"Cederberg",729,"DEB",1,180,120,90,8482.300165,"0","N","0.348990785","45.49024284","130.3479769","2.175348355","-25.46812132",6930,692.708881890245,18.1432266235352,c(18.97217, -32.13677)
"441",441,"729_10_CB","Ficinia indica","CYPERACEAE",-32.13677,18.97217,"Cederberg",729,"DEB",10,25,30,25,589.0486225,"0","N","1.123605217","46.49767843","41.39718428","3.183270086","-25.61111111",6930,692.708881890245,18.1432266235352,c(18.97217, -32.13677)
