"","region","maxElev","minElev"
"1","Baviaanksloof",1370.86505617775,252.246931780762
"2","Cape Point",168.81140819174,10.6719855753399
"3","Cederberg",1534.82556183525,332.771913849236
"4","HTR",1546.46772791744,336.652635876632
"5","Hangklip",388.072202739633,11.642166082189
"6","Langeberg",839.206138424457,350.235162972519
