"","region","avgMAT","sdMAT","minMAT","maxMAT","avgMAP","sdMAP","minMAP","maxMATP"
"1","Baviaanksloof",15.1341389728097,1.42914522193424,12.2500000000001,17.7500000000001,568.412839879154,107.196950535105,419.3,735.1
"2","Cape Point",16.1680076628353,0.152337689145721,15.85,16.35,832.409195402299,52.0079909676901,774.9,947.2
"3","Cederberg",15.0777108433735,1.27247345365035,11.55,18.05,548.300401606426,75.4854453488583,296.6,759.1
"4","HTR",16.5811663479924,1.31405749663371,13.2500000000001,19.95,355.08068833652,112.905516351123,202.6,628.4
"5","Hangklip",16.1043795620438,0.45909508270659,15.15,16.55,1226.8,90.9002202232208,1016,1395.8
"6","Langeberg",15.1704301075269,0.497885992797638,14.45,16.55,602.913620071685,17.125630613157,523.6,626.5
