"species","genus_species_GM","family_GM","family_POSA","family_ITIS","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","functional_twig","plant_longevity","flammability","pollination","dispersal","GM_description"
"Berzelia stokoei","Brunia stokoei","BRUNIACEAE","BRUNIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Feb","Mar","","",300,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.765,0,0,"leaf","",2,"h","i","w","Like B. albiflora but leaves broader, glabrous, with prominent midvein beneath, flowers red and ovary hairy above. Feb.--Mar. Rocky sandstone slopes, SW (Hottentots Holland Mts to Kleinmond)."
"Blechnum capense","Blechnum capense","BLECHNACEAE","BLECHNACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"","","","",100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Frond",1,0,0,0,0,1,NA,0,0,"leaf","",3,"m","w","w","Perennial with massive rhizome. Fronds arching, soft, stipe paleate, sterile lamina oblong-acute, pinnae shortly petiolate, minutely serrate, fertile lamina narrowly oblong-acute, pinnae undulate, linear. Sori extending most of the length of the fertile pinnae, indusium lacerate. Moist streambanks, 170--1400 m, NW, SW, LB, SE (Citrusdal to E Africa)."
"Blechnum punctulatum","Blechnum punctulatum","BLECHNACEAE","BLECHNACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"","","","",150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Frond",1,0,1,1,0,1,NA,0,0,"leaf","",3,"m","w","w","Rhizomatous perennial. Fronds arching, soft, stipe proximally paleate, lamina oblong-elliptic, to 75 cm long, pinnate, sterile pinnae oblong-attenuate from an auriculate base, fertile pinnae linear, base somewhat auriculate acroscopically. Sori extending most of the length of fertile pinnae, indusium erose. Moist forests, terrestrial or lithophytic, 250--800 m, NW, SW, KM, LB, SE (Pakhuis Mts to Zimbabwe and Madagascar)."
"Blechnum tabulare","Blechnum tabulare","BLECHNACEAE","BLECHNACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"","","","",150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Frond",0,0,1,1,0,1,10.8,0,0,"leaf","",3,"m","w","w","Perennial with erect rhizome. Fronds erect to suberect, coriaceous, stipe proximally paleate, lamina narrowly oblong, to 1.4 m, pinnate, sterile pinnae subsessile, entire, fertile pinnae subsessile to shortly petiolate. Sori extending most of the length of fertile pinnae, indusium lacerate. Exposed moist slopes, 300--1200 m, NW, SW, KM, LB, SE (Pakhuis Mts to W Africa and Madagascar)."
"Blepharis capensis","Blepharis capensis","ACANTHACEAE","ACANTHACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Dec","Apr","","",150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,1.65,0,0,"leaf","",2,"l","i","m","Stiffly erect, spiny shrub, mostly to 1.5 m. Leaves appearing dimorphic, oblanceolate, the margins revolute and spiny, tufted in the axils of hard, spreading spines. Flowers clustered in terminal spikes, whitish; bracts stiff, oblanceolate, sharply toothed and spine-tipped, white on the nerves. Mainly Dec.--Apr. Dry slopes on sand or clay, KM, LB, SE (Riversdale to E Cape and Karoo)."
"Bobartia filiformis","Bobartia filiformis","IRIDACEAE","IRIDACEAE","",1,0,"Perennial",1,0,1,0,0,1,1,1,0,"Sep","Dec","","",55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"culm_stem","",2,"h","i","w","Slender rhizomatous perennial, 15--55 cm. Leaves subterete to linear. Flowers in a much-reduced inflorescence of 1--few cymes, yellow. Sept.--Dec., mostly after fire. Sandy lower to middle slopes in fynbos, SW, AP (Paardeberg to Michell's Pass to Agulhas)."
"Bobartia gladiata","Bobartia gladiata","IRIDACEAE","IRIDACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Sep","Dec","","",80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,27.57272727,0,0,"leaf","no",2,"m","i","w","Rhizomatous perennial, 20--80 cm, stems usually flat. Leaves linear, elliptic in section. Flowers in a flattened inflorescence of 3--12 cymes, yellow. Sept.--Dec. Mountain slopes and coastal flats, in fynbos, SW (Cape Peninsula and Bainskloof to Hermanus)."
"Bobartia indica","Bobartia indica","IRIDACEAE","IRIDACEAE","",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Oct","Mar","","",100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,79.11764706,0,0,"mixed","mixed",2,"h","i","w","Rhizomatous perennial, 50--100 cm. Leaves terete, longer than stems and trailing. Flowers in a dense inflorescence of 6--40 cymes, yellow. Mainly Oct.--Mar. Sandy flats and slopes, SW, AP (Mamre to Caledon)."
"Bobartia macrocarpa","Bobartia macrocarpa","IRIDACEAE","IRIDACEAE","",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Aug","Feb","","",100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"culm_stem","",2,"h","i","w","Robust rhizomatous perennial to 1 m. Leaves terete. Flowers in a slender, shortly pedunculate inflorescence of 2--6 cymes, yellow. Aug.--Feb. Grassy slopes, SE (Humansdorp to E Cape)."
"Bobartia macrospatha","Bobartia macrospatha","IRIDACEAE","IRIDACEAE","",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Aug","Nov","","",110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,106.66,0,0,"culm_stem","no",2,"h","i","w","Rhizomatous perennial, 50--110 cm. Leaves terete to linear, spathes fibrotic, dilated. Flowers in a dense inflorescence of (3--)8--30 cymes, yellow, with a perianth tube. Mainly Aug.--Nov. Mountain slopes in fynbos, AP, LB, SE (Swellendam to Humansdorp)."
"Bobartia orientalis","Bobartia orientalis","IRIDACEAE","IRIDACEAE","",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Aug","Nov","","",130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"culm_stem","",2,"h","i","w","Rhizomatous perennial, 40--130 cm. Leaves terete. Flowers in a dense inflorescence of 10--100 short cymes, yellow. Capsule subglobose, 4--8 mm. Mainly Aug.--Nov. Mainly dry, stony sandstone slopes, NW, SW, LB, SE (Piketberg and Riviersonderend Mts to Transkei)."
"Bobartia parva","Bobartia parva","IRIDACEAE","IRIDACEAE","",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Nov","Feb","","",40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"culm_stem","",2,"h","i","w","Slender rhizomatous perennial, 15--40 cm. Leaves terete, spathes fibrotic, dilated. Flowers in a small inflorescence of 3--7 cymes, yellow. Nov.--Feb. Moist mountain slopes, LB (Langeberg Mts: Swellendam to Lemoenshoek)."
"Bobartia rufa","Bobartia rufa","IRIDACEAE","IRIDACEAE","",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Sep","Nov","","",50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,91.78,0,0,"culm_stem","no",2,"h","i","w","50--90 cm. Rhizomatous perennial. Leaves terete, spathes fibrotic, dilated, reddish. Flowers in a compact, indistinctly fasciculate inflorescence of c. 50 cymes, yellow. Sept.--Nov. Mountain fynbos, NW (Cedarberg to Hex River Mts)."
"Bolusafra bituminosa","Bolusafra bituminosa","FABACEAE","FABACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Jan","","",250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,1,0,0,2.383333333,0,0,"leaf","",2,"m","i","p","Sprawling, resinous tar-scented shrublet. Leaves pinnately 3-foliolate. Flowers bright yellow. Aug.--Jan. Mountain fynbos, streamsides, 300--800 m, NW, SW (Tulbagh to Caledon)."
"Boophone disticha","Boophone disticha","AMARYLLIDACEAE","AMARYLLIDACEAE","",1,0,"Perennial",1,0,0,1,0,0,0,1,0,"Sep","Mar","","",25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",3,"l","m","w","Bulbous geophyte to 25 cm. Leaves usually dry at flowering, many, in an upright fan, grey. Flowers in a dense, spreading cluster, pink to red, pedicels elongating in fruit. Sept.--Mar. Rocky slopes and flats, SW, AP, LB, SE (Robertson and Bredasdorp to tropical E Africa)."
"Boscia oleoides","Boscia oleoides","CAPPARACEAE","CAPPARACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Jan","","",400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,3.866666667,0,0,"leaf","",3,"l","i","m",""
"Brabejum stellatifolium","Brabejum stellatifolium","PROTEACEAE","PROTEACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Dec","Jan","","",800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,1,0,13.86,0,0,"leaf","",3,"h","i","p","Widely spreading tree to 8 m. Leaves in whorls of (4--)6(--9), oblanceolate, toothed. Flowers in dense racemes, white. Fruits almond-shaped, velvety. Dec.--Jan. Sandstone slopes, mostly near streams, NW, SW, LB (Gifberg to Riversdale)."
"Brachiaria serrata","Brachiaria serrata","POACEAE","POACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Oct","May","","",75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,1,0,0,0,0,2.531666667,0,0,"mixed","",2,"l","w","w","Perennial to 75 cm. Leaves linear to lanceolate. Spikelets in short, spike-like branches, with long, silky white or purple hairs. Oct.--May. Grassland, AP, LB, SE (Bredasdorp to tropical Africa)."
"Brachylaena neriifolia","Brachylaena neriifolia","ASTERACEAE","ASTERACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jan","Mar","","",800,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,8.16,0,0,"leaf","",3,"h","i","w","Dioecious, leafy shrub or tree to 8 m, sparsely rusty velvety. Leaves aromatic, oblanceolate, occ. lightly toothed, leathery, the margins revolute, base decurrent into a short petiole. Flower heads discoid, in short racemes or panicles, whitish. Jan.--Mar. Streamsides, NW, SW, AP, LB, SE (Gifberg to Humansdorp)."
"Brunia fragarioides","Nebelia fragarioides","BRUNIACEAE","BRUNIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Mar","Sep","","",150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.35,0,0,"leaf","",3,"h","i","w","Thinly hairy shrub to 1.5 m, coppicing from a woody caudex. Leaves linear-deltoid, ascending-incurved, imbricate. Flowers in small axillary heads crowded in globose clusters, cream. Mainly Mar.--Sept. Sandstone slopes, NW, SW (Cold Bokkeveld to Kleinrivier Mts)."
"Brunia laevis","Brunia laevis","BRUNIACEAE","BRUNIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Dec","Feb","","",150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,0.48,0,0,"leaf","",3,"h","i","w","Closely leafy rounded shrub to 1.5 m, coppicing from a woody caudex. Leaves oblong, ascending, incurved above, puberulous above. Flowers in dense globose, terminal heads 1.5--2 cm diam., loosely clustered in corymbs, cream. Dec.--Feb. Rocky sandstone and limestone slopes, SW, AP, LB (Hottentots Holland Mts to Agulhas)."
"Brunia microphylla","Raspalia microphylla","BRUNIACEAE","BRUNIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Oct","Jan","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",3,"h","u","u","Sprawling softly hairy, often cushion-forming shrublet mostly to 50 cm, coppicing from a woody caudex. Leaves scale-like or linear-lanceolate, closely adpressed, ovate to elliptic, 2--3 mm long, hairy above, partly imbricate at first. Flowers few in small terminal heads, white, petals often pubescent. Mainly Oct.--Jan. Sandstone rocks, SW, KM, LB (Hottentots Holland to Bredasdorp and Langeberg Mts)."
"Brunia noduliflora","Brunia nodiflora","BRUNIACEAE","BRUNIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Mar","Jun","","",150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,0.254545455,0,0,"leaf","",3,"h","i","w","Closely leafy rounded shrub to 1.5 m, coppicing from a woody caudex, with minutely pubescent branches. Leaves lanceolate, adpressed, 2--3 mm long, imbricate, cuneate. Flowers in dense globose, terminal heads loosely clustered in corymbs, white, with white villous bracts. Mainly Mar.--June. Rocky sandstone slopes, NW, SW, KM, LB, SW, SE (Olifants River Mts to Vanstaden's Mts)."
"Brunia paleacea","Nebelia paleacea","BRUNIACEAE","BRUNIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Oct","Apr","","",150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.24,0,0,"leaf","",3,"h","i","w","Thinly hairy shrub to 1.5 m, resprouting from woody caudex. Leaves linear-deltoid, ascending-incurved, imbricate. Flowers in small, conspicuously involucrate heads grouped in loose corymbose clusters, cream, bracts attentuate, white, longer than the flowers. Oct.--Apr. Sandstone slopes, NW, SW, LB (Cedarberg to Langeberg Mts)."
"Brunia virgata","Raspalia virgata","BRUNIACEAE","BRUNIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Oct","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"h","u","u","Erect willowy shrub to 1 m. Leaves linear-lanceolate, adpressed, often shortly imbricate. Flowers few in small terminal heads, white. Aug.--Oct. Moist rocky slopes and streambanks, SW, LB (Hottentots Holland to Langeberg Mts)."
"Buddleja saligna","Buddleja saligna","BUDDLEJACEAE","BUDDLEJACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Jan","","",700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",3,"h","i","w","Shrub or tree to 7 m. Leaves petiolate, discolorous, lanceolate. Flowers in velvety paniculate cymes, cup-shaped with anthers exserted, cream with orange throat. Aug.--Jan. Rocky slopes and scrub, SW, LB, SE (Berg River to tropical Africa)."
"Bulbine abyssinica","Bulbine abyssinica","ASPHODELACEAE","ASPHODELACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Nov","","",60,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",1,0,0,0,0,0,30.0875,0,0,"leaf","",2,"l","i","w","Geophyte, 40--60 cm, forming large tufts, rootstock a rhizome. Leaves linear. Flowers in a dense raceme on long pedicels, yellow. Capsules globose, spreading. Mainly Aug.--Nov. Stony flats and slopes, KM, SE (W Karoo and Worcester to tropical Africa)."
"Bulbine alooides","Bulbine alooides","ASPHODELACEAE","ASPHODELACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Mar","May","","",40,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",0,1,0,0,0,0,23.1,0,0,"leaf","",2,"l","i","w","Geophyte, 20--40 cm, often clumped, rootstock a tuber with swollen roots. Leaves emergent at flowering, lanceolate, margins often ciliate. Flowers in a crowded raceme, yellow. Capsules globose, spreading. Mar.--May. Rocky slopes, NW, SW (Namaqualand to Darling)."
"Bulbine cepacea","Bulbine cepacea","ASPHODELACEAE","ASPHODELACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Mar","May","","",40,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"l","i","w","Geophyte, 20--40 cm, rootstock a large flat-based tuber. Leaves often dry at flowering, narrowly lanceolate, surrounded at base by fibrous sheaths. Flowers in a dense raceme, yellow. Capsules oblong, suberect. Mar.--May. Stony flats, NW, SW, LB (Clanwilliam to Riversdale)."
"Bulbine frutescens","Bulbine frutescens","ASPHODELACEAE","ASPHODELACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Sep","Apr","","",60,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"l","i","w","Shrublet with wiry roots, 20--60 cm. Leaves subterete. Flowers in a dense, elongate raceme, yellow, orange or white. Capsules subglobose, spreading-upcurved. Sept.--Apr. AP, KM, SE (dry areas throughout southern Africa)."
"Bulbine lagopus","Bulbine lagopus","ASPHODELACEAE","ASPHODELACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jul","Dec","","",40,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"l","i","w","Geophyte to 40 cm, forming tufts, roots wiry. Leaves linear. Flowers in a dense, elongate raceme, yellow. Capsules subglobose, erect. July--Dec. Rocky slopes, NW, SW, AP, KM, LB (Gifberg to Lesotho)."
"Bulbine latifolia","Bulbine latifolia","ASPHODELACEAE","ASPHODELACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Nov","","",60,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",0,1,0,0,0,0,21.12,0,0,"leaf","",2,"l","i","w","Geophyte, 30--60 cm, rootstock a thick rhizome with thin wiry roots. Leaves in a rosette, broadly lanceolate. Flowers in a dense, elongate raceme, yellow. Capsules globose, erect. Mainly Aug.--Nov. Rocky slopes, SE (Uniondale to Mpumalanga)."
"Cadaba aphylla","Cadaba aphylla","CAPPARACEAE","CAPPARACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Apr","","",200,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"Leaf",0,0,0,0,0,0,10.7,1,1,"culm_stem","yes",3,"l","i","u","Leafless often tangled shrub with purplish branches to 2 m. Flowers in corymbs or racemes on side shoots, greenish to red. Aug.--Apr. Dry bushveld or semi-desert, KM, LB, SE (Montagu to Zimbabwe)."
"Caesia contorta","Caesia contorta","HEMEROCALLIDACEAE","HEMEROCALLIDACEAE","",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Nov","Mar","","",30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"l","i","p","Rhizomatous geophyte, 15--30 cm, stems sprawling, becoming diffuse. Leaves strap-shaped to linear, with flattened pseudopetiole. Flowers in lax racemes, blue, nodding, filaments scabrid and striped blue and white. Nov.--Mar. Mainly sandstone slopes, NW, SW, AP, KM, LB, SE (Namaqualand to Stutterheim)."
"Calobota cytisoides","Lebeckia cytisoides","FABACEAE","FABACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jul","Mar","","",200,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,1,0,0,3.06,0,0,"leaf","",2,"h","i","p","Silvery shrub or small tree to 2 m. Leaves 3-foliolate, flat. Flowers bright yellow. July--Mar. Karroid scrub, fynbos, 180--1000 m, NW, SW (Bokkeveld Mts to Swellendam)."
"Campylostachys cernua","Campylostachys cernua","STILBACEAE","STILBACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Nov","Mar","","",80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,1.34,0,0,"leaf","",2,"l","i","p","Closely leafy, resprouting shrublet to 80 cm, with velvety branches. Leaves oblong-lanceolate, in whorls of 4, 2-grooved below, spreading to recurved. Flowers in nodding, subglobose spikes, white, corolla hairy in the throat. Nov.--Mar. Sandstone slopes, SW (Cape Peninsula and Dutoitskloof to Bredasdorp Mts)."
"Cannomois grandis","Cannomois grandis","RESTIONACEAE","RESTIONACEAE","",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Oct","Dec","","",400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,0,0,0,NA,1,1,"culm_stem","no",2,"h","w","i",""
"Cannomois parviflora","Cannomois parviflora","RESTIONACEAE","RESTIONACEAE","",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Aug","Aug","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,0,0,0,61.44,1,1,"culm_stem","no",2,"h","w","i","Dioecious, caespitose perennial to 1 m, with rhizomes often long and creeping, culms simple, spathes and bracts dark, shiny, coriaceous, acute. Flowers with perianth about a tenth as long as nut. Aug. Lower slopes and coastal plains, NW, SW, AP, SE (Bokkeveld Mts to Humansdorp)."
"Cannomois schlechteri","Cannomois taylorii","RESTIONACEAE","RESTIONACEAE","",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Jun","Aug","","",200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,0,0,0,138.26,1,1,"culm_stem","no",2,"h","w","i","Dioecious, caespitose perennial to 2 m, with spreading rhizomes, often forming large stands. Flowering time? Dry sandstone slopes in arid fynbos and Passerina scrub, NW (Karoopoort to Moedverloor)."
"Cannomois scirpoides","Cannomois scirpoides","RESTIONACEAE","RESTIONACEAE","",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Mar","Jun","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,0,0,0,82.06666667,1,1,"culm_stem","yes",2,"h","w","i","Dioecious, caespitose perennial to 1 m, culms usually simple, spathes shiny. Flowers with perianth about a tenth as long as nut. Flowering time? Habitat? KM, SE (Oudtshoorn to Humansdorp)."
"Cannomois virgata","Cannomois virgata","RESTIONACEAE","RESTIONACEAE","",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Oct","Jan","","",300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,0,0,0,35.76923077,1,1,"culm_stem","yes",2,"h","w","i","Dioecious, caespitose perennial to 3 m, culms branched above. Female flowers solitary, sometimes paired, acute, to 30 mm. Flowering time? Along streams and seeps, sometimes in dense bamboo-like stands, NW, SW, KM, LB, SE (Bokkeveld Mts to Humansdorp)."
"Capelio tabularis","Alciope tabularis","ASTERACEAE","ASTERACEAE","",1,0,"Perennial",1,0,1,0,0,0,1,1,0,"Apr","Jul","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,7.8,0,0,"leaf","",3,"m","i","w","Erect grey-felted shrublet to 50 cm from a woody base. Leaves petiolate, ovate, discolorous, margins revolute, sparsely toothed. Flower heads radiate, 1--few in loose terminal corymbs, yellow, inner bracts glabrous. Apr.--July. Sandstone slopes, mainly after fire, SW (Cape Peninsula to Betty's Bay)."
"Capelio tomentosa","Alciope lanata","ASTERACEAE","ASTERACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Nov","Jan","","",60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,7.36,0,0,"leaf","",3,"m","i","w","Robust grey-woolly perennial to 60 cm from a woody base. Leaves petiolate, ovate, discolorous, margins revolute. Flower heads radiate, few in lax terminal corymbs, golden-orange, bracts densely woolly. Nov.--Jan. Shady ravines, NW (Elandskloof to Grootwinterhoek Mts)."
"Capeobolus brevicaulis","Capeobolus brevicaulis","CYPERACEAE","CYPERACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Mar","","",20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,9.23,0,0,"leaf","",2,"m","w","p",""
"Capeochloa arundinacea","Merxmuellera arundinacea","POACEAE","POACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Sep","Nov","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,56.25454545,0,0,"leaf","",3,"h","w","w","Reed-like perennial to 1 m. Leaves linear, rolled. Spikelets in a dense panicle, straw-coloured, glumes 1-nerved, lemma 6--8 mm long, backs pubescent, not tufted, awn 9--13 mm long. Sept.--Nov. Dry sandstone slopes, NW, SW, KM, LB, SE (Bokkeveld Mts to Port Elizabeth)."
"Capeochloa cincta","Merxmuellera cincta","POACEAE","POACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Oct","Apr","","",200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,78.22,0,0,"leaf","",2,"h","w","w","Like M. arundinacea but to 2 m, lemma glabrous below, with a transverse median band of tufted, white hairs 5--12 mm long. Oct.--Apr. Streamsides, NW, SW, AP, LB, SE (Olifants River Mts to E Cape)."
"Capparis sepiaria","Capparis sepiaria","CAPPARACEAE","CAPPARACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Jan","","",500,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,NA,0,0,"leaf","",3,"m","i","m","Thorny shrub or scrambler to 5 m. Leaves elliptic, margins often revolute. Flowers in terminal corymbs, hairy, white. Aug.--Jan. Coastal scrub, LB, SE (Riversdale through East Africa to Malaysia)."
"Carissa bispinosa","Carissa bispinosa","APOCYNACEAE","APOCYNACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Dec","","",500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,2.116666667,0,0,"leaf","",3,"l","i","m","Twiggy, shrub to 5 m armed with simple or forked thorns. Leaves leathery, elliptic, glossy. Flowers in terminal, sub-umbellate cymes, white, fragrant, corolla lobes 3.5--5 mm. Fruits red, 16 mm long. Sept.--Dec. Coastal and karooid scrub, AP, LB, SE (Elim to tropical Africa)."
"Carpacoce gigantea","Carpacoce gigantea","RUBIACEAE","RUBIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Jan","","",90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"l","w","p","Leafy shrub to 90 cm. Leaves linear-lanceolate, 40--80 mm long. Flowers solitary on lateral branchlets, greenish. Nov.--Jan. Damp sandstone slopes, LB (Langeberg Mts: Swellendam)."
