"","NewUID","finalname","family_GM","latitude","longitude","region","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","fwc","succulence","ldmc","lwr","twig_fwc"
"1","726_1_BK","Euphorbia grandidens","EUPHORBIACEAE",-33.55142,24.04194,"Baviaanksloof","1","726","ASH","1","stem",26.55,17.7,1.5,1.9,13.3,NA,NA,15.163,1.467,NA,NA,NA,NA,11.8,9.336059986
"2","726_1_BK","Euphorbia grandidens","EUPHORBIACEAE",-33.55142,24.04194,"Baviaanksloof","2","726","ASH","1","stem",15.458,11.8,1.31,1.64,11.8,NA,NA,10.069,1.141,NA,NA,NA,NA,9.007633588,7.824715162
"3","726_1_BK","Euphorbia grandidens","EUPHORBIACEAE",-33.55142,24.04194,"Baviaanksloof","3","726","ASH","1","stem",24.48,19.9,1.23,1.94,11.5,NA,NA,18.298,1.749,NA,NA,NA,NA,16.17886179,9.461978273
"4","726_10_BK","Cotyledon woodii","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof","2","726","ASH","10","2",8.55,3.2,1.4,2.1,6.5,3.552,0.217,0.492,0.222,0.025380117,15.36866359,0.39005848,0.061092342,2.285714286,1.216216216
"5","726_10_BK","Cotyledon woodii","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof","3","726","ASH","10","2",6.49,2.5,1.4,1.9,5.9,2.407,0.134,0.597,0.219,0.020647149,16.96268657,0.350231125,0.05567096,1.785714286,1.726027397
"6","726_10_BK","Cotyledon woodii","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof","1","726","ASH","10","3",6.55,2.3,1,1.3,5.1,2.445,0.148,0.513,0.228,0.02259542,15.52027027,0.350687023,0.060531697,2.3,1.25
"7","726_10_BK","Cotyledon woodii","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof","3","726","ASH","10","1",20.78,10.9,1.9,3.5,0.609,1.105,0.442,NA,NA,0.021270452,1.5,0.031905679,0.4,5.736842105,NA
"8","726_11_BK","Senecio ficoides","ASTERACEAE",-33.55094,24.04128,"Baviaanksloof","2","726","ASH","11","1",4.39,6.5,0.7,0.9,6.5,2.081,0.114,1.446,0.294,0.025968109,17.25438596,0.448063781,0.054781355,9.285714286,3.918367347
"9","726_11_BK","Senecio ficoides","ASTERACEAE",-33.55094,24.04128,"Baviaanksloof","3","726","ASH","11","2",4.46,3.6,0.6,0.9,6.7,2.287,0.15,0.435,0.091,0.033632287,14.24666667,0.479147982,0.065588107,6,3.78021978
"10","726_11_BK","Senecio ficoides","ASTERACEAE",-33.55094,24.04128,"Baviaanksloof","1","726","ASH","11","2",5.47,4.5,0.5,0.8,6.7,2.667,0.131,0.464,0.091,0.023948812,19.35877863,0.463619744,0.04911886,9,4.098901099
