NewUID,sample_id,replicate,ScientificName_WFO,twig_fwc,trait_ratio,twig_fresh_g,comp1_dev,twig_dry_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
710_5_langeberg,710_5_langeberg_CM,3,Cullumia aculeata,0.10989011,0.132950107441854,0.303,0.06077963006842223,0.273,0.8306622955496732,twig_dry_g,0.9570131828829838,TRUE,both
806_10_cape_point,806_10_cape_point_b,5,Dimorphotheca nudicaulis,0.612244898,0.12159389131540167,0.316,0.6299099067751308,0.196,1.4348007541002736,twig_dry_g,0.7685840852514727,TRUE,both
815_12_htr,815_12_htr_BHR,2,Restio monanthos,0.734234234,0.11899899024696801,0.77,0.1951021237379178,0.444,0.8142762887109489,twig_dry_g,1.4491284855954172,TRUE,both
804_26_htr,804_26_htr_RDG,2,Pelargonium,0.35483871,0.11827957,0.042,0.8556100906648251,0.031,0.7062687969432897,twig_fresh_g,0.5672867535336351,TRUE,both
806_10_cape_point,806_10_cape_point_b,4,Dimorphotheca nudicaulis,0.59375,0.11792074250738753,0.102,2.261265312980738,0.064,0.4178525148858977,twig_fresh_g,0.7685840852514727,TRUE,both
805_33_htr,805_33_htr_MAL,3,Euphorbia lathyris,1.656839623,0.11389969000288484,2.253,0.1411082283146819,0.848,1.1392058189809353,twig_dry_g,1.454508534858829,TRUE,both
715_24_baviaanskloof,715_24_baviaanskloof_DEB,2,Protea eximia,1.388998035,0.11298764432788025,2.432,0.2049002298490382,1.018,0.9512321250499784,twig_dry_g,1.4186940723019807,TRUE,both
805_33_htr,805_33_htr_MAL,2,Euphorbia lathyris,1.62804878,0.11180981044154047,1.724,0.6731471324238553,0.656,0.4476589208480418,twig_fresh_g,1.454508534858829,TRUE,both
815_12_htr,815_12_htr_BHR,1,Restio monanthos,0.68957346,0.1113576997132333,0.713,0.35196446864217057,0.422,0.6794400370699704,twig_dry_g,1.4491284855954172,TRUE,both
727_35_baviaanskloof,727_35_baviaanskloof_HK,1,Erica passerina,0.844155844,0.1110594580507617,0.284,2.267577998175237,0.154,0.16366601097062988,twig_fresh_g,1.5047943557789494,TRUE,both
719_1_baviaanskloof,719_1_baviaanskloof_JAS,1,Protea eximia,1.5987158909999999,0.10684774353235557,1.619,0.32992580885104367,0.623,0.16026035821633475,twig_fresh_g,1.5231562578674847,TRUE,both
808_22_htr,808_22_htr_EPO,1,Zaluzianskya violacea,7.25,0.09965635738831616,0.033,2.562936194391157,0.004,0.41503749927884376,twig_fresh_g,0.904108303917226,TRUE,both
814_36_htr,814_36_htr_RDG,3,Mesembryanthemum nitidum,0.156565657,0.09926684251813515,0.229,0.6999550230110875,0.198,0.45943161863729726,twig_fresh_g,0.7694585848995972,TRUE,both
626_4_hangklip,626_4_hangklip_TEM,3,Restio subverticillatus,0.819212809,0.0992618038457893,2.727,0.2312079766303178,1.499,0.5070992957285089,twig_dry_g,1.495305699077586,TRUE,both
625_16_hangklip,625_16_hangklip_ET,3,Podalyria calyptrata,0.109756098,0.09878048820987805,0.091,2.0846623970693843,0.082,1.4816517834788603,twig_fresh_g,0.6432753633508065,TRUE,both
805_1_htr,805_1_htr_MAL,1,Caroxylon aphyllum,0.38245614,0.09766241619812652,0.394,0.7734823160059269,0.285,0.48593312478585693,twig_fresh_g,1.4903509083413788,TRUE,both
805_1_htr,805_1_htr_MAL,3,Caroxylon aphyllum,0.381756757,0.09747512053504521,0.409,0.7034213341295134,0.296,0.5800967455493402,twig_fresh_g,1.4903509083413788,TRUE,both
