NewUID,sample_id,replicate,ScientificName_WFO,ldmc,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_dry_wgt_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
702_45_baviaanskloof,702_45_baviaanskloof_DEB,2,Dodonaea viscosa,0.037978142,0.09930334640776312,3.66,3.413461644353305,0.139,0.058245141035953636,leaf_fresh_wgt_g,0.7457455066626525,TRUE,both
710_17_langeberg,710_17_langeberg_CM,1,Erica,0.045901639,0.09736372955218862,1.22,3.6677029317290923,0.056,0.2527660703799667,leaf_fresh_wgt_g,0.5019195253393154,TRUE,both
806_22_cape_point,806_22_cape_point_b,1,Roepera spinosa,0.017,0.09411001900216914,6,3.476605322630738,0.102,0.07996830470341515,leaf_fresh_wgt_g,0.5632754044184947,TRUE,both
721_42_cape_point,721_42_cape_point_b,1,Metalasia muricata,0.043382353,0.09193874807392624,1.36,3.4786535985748155,0.059,0.02466205423426903,leaf_fresh_wgt_g,0.7632671604418163,TRUE,both
721_28_cape_point,721_28_cape_point_b,1,Tetraria flexuosa,0.033333333,0.08946571401605184,0.9,2.2941449383738246,0.03,1.222392421336448,leaf_fresh_wgt_g,0.7645872181797506,TRUE,both
804_18_cape_point,804_18_cape_point_a,1,Pentameris curvifolia,0.058333333,0.08792122490114913,0.84,3.7484612330040354,0.049,0.29278174922784594,leaf_fresh_wgt_g,0.7709168707905295,TRUE,both
729_22_cape_point,729_22_cape_point_b,2,Leucadendron coniferum,0.036885245999999997,0.08629838466176969,1.22,2.939782477165893,0.045,0.6270879763938327,leaf_fresh_wgt_g,0.7690243254173456,TRUE,both
804_16_cape_point,804_16_cape_point_a,3,Roella triflora,0.0325,0.0682500000273,1.6,4.6665762662748085,0.052,0.7935491225325737,leaf_fresh_wgt_g,0.6996846868315871,TRUE,both
619_20_hangklip,619_20_hangklip_JS,4l,Schoenus bolusii,0.029135338,0.06621667727272727,1.064,3.4703199347800333,0.031,0.3677317845004871,leaf_fresh_wgt_g,0.5071902678863556,TRUE,both
721_10_baviaanskloof,721_10_baviaanskloof_HK,2,Crassula biplanata,0.015789474,0.06275161418803,2.66,3.5037664178731753,0.042,0.2370391973008493,leaf_fresh_wgt_g,1.0924905029774568,TRUE,both
619_20_hangklip,619_20_hangklip_JS,5c,Schoenus bolusii,0.011639185,0.02645269318181818,1.031,3.424866116646952,0.012,1.7369655941662063,leaf_fresh_wgt_g,0.5071902678863556,TRUE,both
705_17_langeberg,705_17_langeberg_CM,4L,Tetraria fimbriolata,0.233333333,0.4643678149893664,0.06,1.9132883668066694,0.014,3.0255350921071376,leaf_dry_wgt_g,0.19173440518496826,FALSE,ratio_only
