NewUID,sample_id,replicate,ScientificName_WFO,succulence,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_area_cm2,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
703_15_langeberg,703_15_langeberg_EFG,4,Ficinia acuminata,0.00733945,0.4390419494444791,0.087,1.0727563424353141,6.54,0.3169732129445976,leaf_fresh_wgt_g,0.6235409389580193,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,4L,Ficinia nigrescens,0.023377483,0.43867159317757326,0.131,0.8734675940710681,3.02,0.07900787443979039,leaf_fresh_wgt_g,0.5364676685078137,TRUE,both
723_15_cape_point,723_15_cape_point_c,3,Diastella divaricata,0.026373626,0.432687821891394,0.066,1.2410080995037949,1.82,0.03909981968894039,leaf_fresh_wgt_g,0.9453100224162234,TRUE,both
619_19_hangklip,619_19_hangklip_JS,4l,Schoenus compar,0.030685921,0.4277617415888932,0.167,2.032037475816038,2.77,1.17166005281306,leaf_fresh_wgt_g,0.38102538964765165,TRUE,both
724_14_cederberg,724_14_cederberg_SM,4,Othonna quinquedentata,0.023957323,0.42367437573155436,0.468,2.169239798370354,10.31,1.405913150921982,leaf_fresh_wgt_g,0.4512412328250925,TRUE,both
620_42_hangklip,620_42_hangklip_CM,2L,Ficinia nigrescens,0.01888412,0.421179530715667,0.08,1.6724253419714956,2.33,0.7688090524886777,leaf_fresh_wgt_g,0.557623436865216,TRUE,both
730_29_htr,730_29_htr_RDG,1,Drosanthemum karrooense,0.079023307,0.418615331883372,0.819,0.5978229144457137,9.01,0.615710950977174,leaf_area_cm2,0.5218789368911869,TRUE,both
621_28_hangklip,621_28_hangklip_CC,3,Restio dispar,0.077605293,0.4158643519427887,12.048,1.2064728306611896,78.59,0.07659121340586872,leaf_fresh_wgt_g,0.4331998119925481,TRUE,both
703_3_langeberg,703_3_langeberg_EFG,4,Leucadendron spissifolium,0.012609971,0.4116450439626329,0.22,0.7789731206877817,3.41,0.782359369004336,leaf_area_cm2,0.4846690522867495,TRUE,both
620_40_hangklip,620_40_hangklip_CM,5,Lanaria lanata,0.015608387,0.4087608787198203,1.957,0.6112604549334101,67.72,0.3434178085004265,leaf_fresh_wgt_g,0.45798479445117785,TRUE,both
731_5_cederberg,731_5_cederberg_SM,5l,Ficinia brevifolia,0.067005887,0.400887269856106,1.083,1.50742862443649,11.89,0.84245872301352,leaf_fresh_wgt_g,0.398092795756267,TRUE,both
620_40_hangklip,620_40_hangklip_CM,3,Lanaria lanata,0.01500908,0.3930659029389828,2.514,0.2382907220298565,93.61,0.8104984909280449,leaf_area_cm2,0.45798479445117785,TRUE,both
724_14_cederberg,724_14_cederberg_SM,2,Othonna quinquedentata,0.022106578000000002,0.39094479102322555,0.884,1.2517019585623268,24.02,0.1857213325844564,leaf_fresh_wgt_g,0.4512412328250925,TRUE,both
725_41_cape_point,725_41_cape_point_c,2,Struthiola ciliata,0.023566879,0.3858539867937123,0.06,0.036525876025113875,1.57,1.2210147083166862,leaf_area_cm2,0.6076108490571521,TRUE,both
716_4_baviaanskloof,716_4_baviaanskloof_DEB,2,Smelophyllum capense,0.013105639,0.3851420528151976,0.808,0.3669280795267135,25.18,0.10330571329676856,leaf_fresh_wgt_g,0.8975704807638257,TRUE,both
803_15_cape_point,803_15_cape_point_b,1,Robsonodendron maritimum,0.019085714,0.38490052115516943,0.9,0.19954148220841053,17.5,0.2893234294554347,leaf_area_cm2,0.5897835042640429,TRUE,both
716_4_baviaanskloof,716_4_baviaanskloof_DEB,3,Smelophyllum capense,0.012962963,0.38015219239832154,0.922,0.09535697391440055,30.78,0.5765502609049561,leaf_area_cm2,0.8975704807638257,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,1L,Ficinia nigrescens,0.019293194,0.3620311112819116,0.141,0.7673392432097252,3.82,0.3390240887106698,leaf_fresh_wgt_g,0.5364676685078137,TRUE,both
724_15_cederberg,724_15_cederberg_SM,7,Aspalathus polycephala,0.014117647,0.3617993064084158,0.099,2.8382489300033877,3.4,1.9046257677636562,leaf_fresh_wgt_g,0.6085174316754627,TRUE,both
807_7_htr,807_7_htr_HKM,3,Felicia brevifolia,0.005952381,0.3613017319764343,0.038,1.2598671267551107,1.68,0.9160216073606469,leaf_fresh_wgt_g,0.4865891071068533,TRUE,both
710_18_langeberg,710_18_langeberg_CM,2,Restio hystrix,0.018511797,0.3501950644031052,0.518,1.2949400273184049,5.51,0.9848655460695933,leaf_fresh_wgt_g,0.5107004764312616,TRUE,both
724_15_cederberg,724_15_cederberg_SM,1,Aspalathus polycephala,0.013377926,0.34284214274397934,0.091,2.9598109098843013,2.99,2.090015029703253,leaf_fresh_wgt_g,0.6085174316754627,TRUE,both
724_15_cederberg,724_15_cederberg_SM,5,Aspalathus polycephala,0.013207547,0.33847576327390483,0.08,3.145677455195635,2.65,2.2641681544507963,leaf_fresh_wgt_g,0.6085174316754627,TRUE,both
710_18_langeberg,710_18_langeberg_CM,5,Restio hystrix,0.017431193,0.3297528465366143,0.788,0.6896964955485824,13.08,0.7597557027063457,leaf_area_cm2,0.5107004764312616,TRUE,both
