trait_flagged,sample_id,NewUID,replicate,ScientificName_WFO,lma,leaf_thickness_mm,fwc,leaf_length_cm,avg_leaf_width_cm
leaf_thickness_mm,725_4_cape_point_a,725_4_cape_point,3,Erica imbricata,NA,0.014,NA,NA,NA
leaf_thickness_mm,725_4_cape_point_a,725_4_cape_point,2,Erica imbricata,NA,0.017,NA,NA,NA
leaf_thickness_mm,725_5_cape_point_a,725_5_cape_point,3,Erica labialis,NA,0.006,NA,NA,NA
leaf_thickness_mm,725_5_cape_point_a,725_5_cape_point,2,Erica labialis,NA,0.0076,NA,NA,NA
leaf_thickness_mm,725_5_cape_point_a,725_5_cape_point,1,Erica labialis,NA,0.0078,NA,NA,NA
leaf_thickness_mm,725_6_cape_point_c,725_6_cape_point,2,Staavia radiata,NA,0.011,NA,NA,NA
leaf_thickness_mm,725_7_cape_point_c,725_7_cape_point,1,Berzelia abrotanoides,NA,0.006,NA,NA,NA
leaf_thickness_mm,725_7_cape_point_c,725_7_cape_point,2,Berzelia abrotanoides,NA,0.0166,NA,NA,NA
leaf_thickness_mm,725_9_cape_point_c,725_9_cape_point,1,Roella triflora,NA,0.0046,NA,NA,NA
leaf_thickness_mm,725_9_cape_point_c,725_9_cape_point,3,Roella triflora,NA,0.0046,NA,NA,NA
leaf_thickness_mm,725_9_cape_point_c,725_9_cape_point,2,Roella triflora,NA,0.0046,NA,NA,NA
leaf_thickness_mm,727_16_cape_point_b,727_16_cape_point,3,Erica muscosa,NA,0.011,NA,NA,NA
leaf_thickness_mm,727_16_cape_point_b,727_16_cape_point,2,Erica muscosa,NA,0.011,NA,NA,NA
leaf_thickness_mm,727_16_cape_point_b,727_16_cape_point,1,Erica muscosa,NA,0.011,NA,NA,NA
leaf_thickness_mm,727_34_cape_point_b,727_34_cape_point,2,Berzelia lanuginosa,NA,0.0032,NA,NA,NA
fwc,621_21_hangklip_CC,621_21_hangklip,2,Pentameris curvifolia,NA,NA,0.352941176,NA,NA
fwc,627_9_hangklip_CM,627_9_hangklip,6,Grubbia tomentosa,NA,NA,0.292857143,NA,NA
fwc,710_11_langeberg_CM,710_11_langeberg,2,Pentameris eriostoma,NA,NA,0.234624146,NA,NA
fwc,710_18_langeberg_CM,710_18_langeberg,4,Restio hystrix,NA,NA,0.370983447,NA,NA
fwc,710_18_langeberg_CM,710_18_langeberg,2,Restio hystrix,NA,NA,0.245192308,NA,NA
fwc,710_18_langeberg_CM,710_18_langeberg,5,Restio hystrix,NA,NA,0.407142857,NA,NA
