sample_id,ScientificName_WFO,Family_WFO,percent_N,replicate,lma,log_N,log_LMA,sma_resid,sma_resid_z,flag_covariation
814_25_htr_RDG,Leipoldtia schultzei,Aizoaceae,3.149384975,2,0.049560117,0.49822575123644924,-1.3048676770257077,0.8896704039587455,4.048059741020117,TRUE
814_25_htr_RDG,Leipoldtia schultzei,Aizoaceae,3.149384975,3,0.0478125,0.49822575123644924,-1.3204585475023072,0.875394115499053,3.982806075603069,TRUE
814_25_htr_RDG,Leipoldtia schultzei,Aizoaceae,3.149384975,1,0.044660194,0.49822575123644924,-1.3500793947230114,0.8482708217754629,3.8588316729672196,TRUE
814_25_htr_RDG,Leipoldtia schultzei,Aizoaceae,3.149384975,5,0.062184874,0.49822575123644924,-1.2063152413094238,0.9799131522903866,4.460538805349316,TRUE
814_25_htr_RDG,Leipoldtia schultzei,Aizoaceae,3.149384975,4,0.069543147,0.49822575123644924,-1.1577456603048997,1.0243874714009014,4.663820796118998,TRUE
824_20_htr_RDG,Thesium horridum,Santalaceae,0.780008693,3L,0.15336,-0.10790055718016885,-0.8142879001299939,0.732759450000155,3.3308554817483675,TRUE
824_20_htr_RDG,Thesium horridum,Santalaceae,0.780008693,1L,0.138152866,-0.10790055718016885,-0.8596401011559067,0.6912312296804698,3.1410394380506537,TRUE
704_1_langeberg_TEM,Elegia mucronata,Restionaceae,0.65266474,1,0.158935111,-0.1853098492881974,-0.798780150438155,0.6695503340974058,3.0419409986829145,TRUE
704_1_langeberg_TEM,Elegia mucronata,Restionaceae,0.65266474,4,0.167540363,-0.1853098492881974,-0.7758805479319021,0.6905191011384921,3.1377844605581955,TRUE
705_1_baviaanskloof_TEM,Aloe ferox,Asphodelaceae,0.570724814,3,0.313484127,-0.24357324476487024,-0.5037844444052997,0.881409367000644,4.010300421209243,TRUE
705_1_baviaanskloof_TEM,Aloe ferox,Asphodelaceae,0.570724814,1,0.220159375,-0.24357324476487024,-0.657262816340824,0.7408718958335159,3.36793562534582,TRUE
705_1_baviaanskloof_TEM,Aloe ferox,Asphodelaceae,0.570724814,2,0.185561111,-0.24357324476487024,-0.7315130359176402,0.6728822634095191,3.057170489256725,TRUE
709_23_baviaanskloof_TEM,Aloe comptonii,Asphodelaceae,0.684701202,3,0.163833333,-0.16449890972358377,-0.7855977334351184,0.7024321832378364,3.1922364475428555,TRUE
711_42_baviaanskloof_TEM,Crassula muscosa,Crassulaceae,0.334797137,3,0.010764873,-0.475218264509178,-1.9679910894563373,-0.6909841671208119,-3.1767525631278373,TRUE
723_2_baviaanskloof_TEM,Erica cordata,Ericaceae,0.293372924,2,0.011590296,-0.532579970588185,-1.9359054726192235,-0.71896563288153,-3.3046494748345228,TRUE
723_2_baviaanskloof_TEM,Erica cordata,Ericaceae,0.293372924,3,0.009839817,-0.532579970588185,-2.0070129784618724,-0.7840775370938434,-3.6022611702085072,TRUE
723_2_baviaanskloof_TEM,Erica cordata,Ericaceae,0.293372924,1,0.006476684,-0.532579970588185,-2.1886472918304904,-0.950396913277524,-4.362469186213787,TRUE
723_4_baviaanskloof_TEM,Osteospermum junceum,Asteraceae,0.518273366,2,0.003737374,-0.2854411089232302,-2.4274334400125652,-0.9219103671932012,-4.2322636672988425,TRUE
723_4_baviaanskloof_TEM,Osteospermum junceum,Asteraceae,0.518273366,1,0.003187441,-0.2854411089232302,-2.496557845338091,-0.985206380813036,-4.5215753400520935,TRUE
723_4_baviaanskloof_TEM,Osteospermum junceum,Asteraceae,0.518273366,3,0.003919546,-0.2854411089232302,-2.4067642342839815,-0.9029839356217968,-4.145755256041533,TRUE
725_11_cape_point_c,Muraltia thunbergii,Polygalaceae,0.63,2,0.005357143,-0.2006594505464183,-2.271066760705352,-0.6939464649112426,-3.1902925521402605,TRUE
