genus,species_epithet,stage,field,raw,infra_rank,infra_epithet,expected_infra_rank,expected_infra_epithet,has_infra,prev_has_infra,dropped_at_this_stage
Osteospermum,incanum,wf2_output,species,Osteospermum incanum subsp. incanum,subsp,incanum,subsp.,incanum,TRUE,TRUE,FALSE
Oxalis,massoniana,raw_input,genus_species_GM,Oxalis massoniana var massoniana,var,massoniana,var.,massoniana,TRUE,NA,FALSE
Oxalis,massoniana,wf2_output,genus_species_GM,Oxalis massoniana var. massoniana,var,massoniana,var.,massoniana,TRUE,TRUE,FALSE
Oxalis,massoniana,wf3_output,scientific_name_MG,Oxalis massoniana var. massoniana,var,massoniana,var.,massoniana,TRUE,NA,FALSE
Ursinia,nana,raw_input,genus_species_GM,Ursinia nana subsp nana,subsp,nana,subsp.,nana,TRUE,NA,FALSE
Ursinia,nana,wf2_output,genus_species_GM,Ursinia nana subsp. nana,subsp,nana,subsp.,nana,TRUE,TRUE,FALSE
Ursinia,nana,wf3_output,scientific_name_MG,Ursinia nana subsp. nana,subsp,nana,subsp.,nana,TRUE,NA,FALSE
Ursinia,nana,wf3_output,scientific_name_original,Ursinia nana subsp. nana,subsp,nana,subsp.,nana,TRUE,NA,FALSE
Ursinia,nana,raw_input,species,Ursinia nana subsp nana,subsp,nana,subsp.,nana,TRUE,NA,FALSE
Ursinia,nana,wf2_output,species,Ursinia nana subsp. nana,subsp,nana,subsp.,nana,TRUE,TRUE,FALSE
